Company Name,Competitors,Founded,Headquarters,Industry,Job Description,Job Title,Location,Rating,Revenue,Salary Estimate,Sector,Size,Type of ownership
"Condeco
3.8",-1,2005,-1,Computer Hardware & Software,"Title: Data Analyst

Skills: Data Warehouse, Data Analyst, SQL Database, Power BI, no-SQL Database – Mongo DB

Location: DLF Cyber Hub, Gurugram

Company Summary:
We’re the global leader in workspace scheduling technology. We make it easy to find and book space to meet up and work together. We provide workspace scheduling software to over 1,000 of the world’s biggest brands, integrating meeting room and workspace reservation solutions that help remove friction in the workplace and free businesses and their people up to get the most out of their working day.

Responsibilities:
Identify and assess key opportunity areas where data, analytics and science can enhance our business.
Develop hypothesis-driven analysis and statistical models to identify trends and key drivers in consumer behaviours that can be used to develop compelling value-props for the company and our clients.
Drive productization of analytic capabilities in data management, modelling and insights.
Gather information, perform data analysis by using latest Date Technologies to define technology requirements, business rules and ensure the technology meets the business objectives.
Work on Data Acquisition from upstream systems performing below-
Data Analysis
Data profiling
Gap Analysis
Prepare Data spec
Do feed testing
Perform Testing (QA and Functional)
Research and design data enrichment & transformation processes.
About You:
Experience with Power BI or other BI tools such as Qlikview, Tableau, Spotfire, Cognos is required.
Hadoop, Spark, Kafka, Scala, Python, DB2, MySQL, Oracle, no-SQL databases like MongoDB, Elastic Search.
Should have worked as Business/Data Analyst for a Data Lake or Warehousing project, preferably on Big Data platform.
Strong SQL skills is necessary along with exposure to data analysis using industry standard tools, methods and techniques. Prior experience of data modelling is useful.
Strong Data Analyst or System Analyst experience.
Ability to work on complex data mapping issues involving large datasets.
Quantitative skills in mathematics, statistics, and analytics.
Ability to analyse existing tools and databases and provide software solution recommendations.
Ability to turn data into information, information into insight and insight into business decisions.
Able to analyse large data sets, preferably utilizing Excel, SQL, or R/Python.
Solid and proven background in data mining, statistical analysis, segmentation and modelling.
Benefits:
Health insurance fully paid – Spouse, children and Parents
Accident insurance fully paid
Transport allowance
Gratuity fully paid
25 days holiday
7 paid sick days
10 public holidays
Company Information:
Follow us on Twitter | LinkedIn | YouTube.
Condeco are proud to be an equal opportunity employer. We are committed to treating all individuals in a fair and equal manner by creating an inclusive and open environment for all employees.",Data Analyst,Gurgaon,3.8,$25 to $50 million (USD),"INR  16,37,214",Information Technology,201 to 500 Employees,Company - Private
"Tredence Analytics Solutions Private Limited
3.5",-1,2013,-1,Consulting,"Business Analyst / Senior Business Analyst

Bengaluru, India
JOB DESCRIPTION

As a Senior Business Analyst with Tredence you will work in a challenging environment with smart peer group. In your role, you will work hands on and provide thought leadership to real life business problems using analytical thinking and by applying complex mathematical techniques.
THE IDEAL CANDIDATE WILL

Be part of team that solves business problems which involve:
Brainstorm with clients and internal teams to define a problem
Translate the business problem into an analytical problem
Solve the analytical problem using combination of Technology, Math and Domain knowledge
Be trained, guided and mentored to build a career in analytics
Use a combination of Technology (70%), Math (20%) and domain knowledge (10%) to solve real world business problem
ELIGIBILITY CRITERIA

At least 2 years of work experience
Proficiency in SQL/Hive [must have]:
Handling and analysing large data
Data cleaning and processing
Good experience of:
Basic operations: Joins, Union, table properties
Windows function: rank, partition by
Parametrizing query
Optimized table format
Query optimization parameters
Hadoop query optimization
My-SQL query optimization
Nice to have:
R (Basic data manipulation, DPLYR, GGplot, Random forest)
Python (Basic data manipulation using pandas, matplotlib, sklearn)
Hadoop, spark
Tableau
Excellent communication skills
Collaborative mindset to work with clients and internal teams
Motivation to learn constantly
Send your CV to careers@tredence.com",Business Analyst / Senior Business Analyst,Bengaluru,3.5,$10 to $25 million (USD),"INR  6,80,638",Business Services,501 to 1000 Employees,Company - Private
"Arlo Technologies, Inc.
4.0",-1,2018,-1,Computer Hardware & Software,"Sr. CRM Business Systems Analyst
Function

IT

Location


India

Apply Now

Join Arlo’s CRM Technology team to lead the delivery of our CRM vision. The Business Systems Analyst position requires a strong background in Salesforce.com Service, & Sales Clouds to support our present ecosystem and future roadmap.

Responsibilities:
• Work with cross functional and geographical teams to lead global system implementations.
• Work as liaison between Support, Contact centers, Product teams and IT.
• Implement solutions to support and sustain the effectiveness of Salesforce.com Service cloud ecosystem..
• Maintain Salesforce.com user roles, security, profiles and workflow rules.
• Maintain integrations between Salesforce.com and other corporate and 3rd party applications using Informatica cloud
• Support Custom Force.com applications and lead projects in these areas.
• Develop, Maintain and Perform user training.

Qualifications:
• 5+ years of experience in Salesforce.com Architecture, Design and Development.
• Familiarity with Agile Project Management methodology.
• Extensive experience implementing Salesforce.com Service cloud as well as implementing extensions and integrations leveraging the Force.com platform.
• Experience with data integration tools such as Informatica, Mulesoft etc.
• Bachelor's degree in Computer Science or related field.
• Salesforce.com Certified Administrator and Developer preferred.
• Proven ability to integrate business processes across disparate systems.
• Experience with Salesforce.com developer toolkit including SOQL, Apex Classes, Controllers and Triggers, Visualforce, Lightning, Force.com IDE, Migration Tool, Web Services preferred. HTML and Javascript experience desired.
• Knowledge of data management, SQL and RDBMS technologies, SOA design principles.
• Demonstrated ability to effectively work in a team environment and communicate at all levels of an organization.
• Strong verbal and written communication skills.

Travel Requirements (",Sr. CRM Business Systems Analyst,India,4.0,Unknown / Non-Applicable,INR  346 - INR  380,Information Technology,201 to 500 Employees,Company - Public
"Viscadia Inc
3.8",-1,2010,-1,Consulting,"Senior Consultant, Gurgaon, India

Full Time
Gurgaon, New Delhi Area
Viscadia

Viscadia is a leading professional services firm focused exclusively on pharmaceutical and biotech forecasting. We are a rapidly growing firm, comprised of driven, collegial, and intellectually curious individuals. Our team of experts come with many years of experience from the healthcare industry and/or the consulting space.
We seek a Senior Consultant to join our India team in Gurgaon. Senior Consultants at Viscadia serve as a key bridge between clients and internal working teams in delivering impactful insights and solutions. They work collaboratively with the Viscadia Principals and Managers and are well-positioned to grow and develop within the organization.

The responsibilities of a Senior Consultant include:
Client engagements and project execution
Develop and manage appropriate project plans and work schedules to meet business objectives and priorities. Manage multiple concurrent engagements ensuring exceptional client satisfaction and on-time delivery.
Gather client requirements, translate business requirements into tactical requirements, determine operational objectives
Manage end-to-end project tasks of team members while maintaining high standards of quality and thoroughness
Provide engagement delivery and implementation to Viscadia leadership
Provide business insight into model design and build, apply statistical estimation techniques and/or optimization techniques for forecasting engagements
Synthesize findings and analyses into executive presentations that deliver an evidence-based narrative on the topics in focus
Present forecast models and presentations to clients
Think in advance about potential risks and mitigation plans
Lead discussions with the team for evolving product ideas and troubleshooting any bottlenecks during the engagement
Internal capabilities
Develop expertise in designing and building forecast models and in therapeutic categories in-line with Viscadia’s business focus and client base
Work with Principals/Managers/Senior Consultants to develop project proposals and contribute in business development efforts by creating sales pitches, case studies, and Microsoft Excel demos of Viscadia capabilities
Assume ownership of internal practice development and capability building initiatives
Contribute to the broader success of the organization and participate in idea generation and innovation in expanding company services and product offerings
Team development
Build, lead and guide a team of 2-3 associates/associate consultants independently or with little guidance
Mentor and coach associates and associate consultants to ensure engagement as well as organizational success against set plans
Qualifications:
B.Tech/B.E. from a premier engineering college
7-8 years of analytics/consulting experience in the pharmaceutical industry, prior knowledge working with the different datasets from IQVIA, Symphony and internal to the pharmaceutical organization etc.
Significant hands-on experience in designing and building forecast models and/or working on commercial assessments
Proficient in the use of Microsoft Office applications, especially PowerPoint and Excel
Strong verbal and written communication skills with both technical and non-technical audiences
Prior experience with client interactions and ability to deliver clear and concise presentations both internally and externally
Strong problem solving and analytic skills
Collaborative work approach and demonstrated ability to build and lead teams
Willingness to work in a small and fast-growing organization
Passionate about consulting, and delivering value to drive client business","Senior Consultant, Gurgaon, India",Gurgaon,3.8,Unknown / Non-Applicable,"INR 1,042K - INR 1,136K",Business Services,1 to 50 Employees,Company - Private
"Amazon.com, Inc.
4.3",-1,1994,-1,Internet,"Founded in 1994 and headquartered in Seattle, USA, Amazon has grown to be a Fortune 100 company and a global leader in e-commerce. With a mission to be Earths most customer-centric company, where customers can find and discover anything they might want to buy online, and endeavors to offer its customers the lowest possible prices, Amazon offers millions of items to our customers from tens of thousands of sellers.

As part of the Customer Experience team, the Business Analyst will be responsible for working closely with the product Managers to analyze data, build inferences, and deliver compelling and actionable data insights in terms of multiple reports and dashboards. This role requires an individual with excellent understanding of SQL and query development, good business acumen and the ability to work with quantitative and business teams. The successful candidate will be a self-starter comfortable with ambiguity, with strong attention to detail, an ability to work in a fast-paced and ever-changing environment, and driven by a desire to innovate in this space.

The Business Analyst position is based in Bangalore.



Basic Qualifications

BASIC QUALIFICATIONS
Responsibilities
· Identifying, developing and executing data analysis to help marketing, product and category functions create more business impact.
· Presenting written recommendations and insights to key stakeholders.
· Shaping and informing key metrics and indicators by which leadership will assess its performance.
· Learn and understand a broad range of Amazons data resources and know how, when and which data sources to use.
· Deep dive into massive data sets to answer key business questions using MS Excel, SQL and other data manipulation languages.
Basic Qualifications
· Bachelors degree in Engineering, Mathematics, Statistics or similar quantitative discipline.
· Technical skills Strong proficiency in SQL, Microsoft Excel, and statistical analysis tools and techniques.
· 1-3 years of experience in hands on Analytics, dash-boarding, querying
· Strong Analytical skills has ability to start from ambiguous problem statements, identify and access relevant data, make appropriate assumptions, perform insightful analysis and draw conclusion relevant to the business problem.
· Communication skills ability to communicate (written and spoken) in English. Demonstrated ability to communicate complex technical problems in simple plain stories. Ability to present information professionally & concisely with supporting data.
· Ability to work effectively & independently in a fast-paced environment with tight deadlines.
· Ability to engage with cross-functional teams for implementation of project and program requirements.


Preferred Qualifications

PREFERRED QUALIFICATIONS
· Proficient with statistical tools like R and statistical techniques like Regression, Cluster Analysis etc.
· Proficient with reporting tools like Tableau.",Business Analyst,Bengaluru,4.3,$10+ billion (USD),"INR  14,39,361",Information Technology,10000+ Employees,Company - Public
"Barclays PLC
4.0",-1,1690,-1,Banks & Credit Unions,"Job
Title: Business Analyst

Location:
Pune

Analyst for various MCAs
developed for various services in BUK

What
will you be doing?

·
Understand the various
phases of the software development lifecycle.

·
Undertake impact
assessment of change requests against applications / products within domain.

·
Complete
technically-complex assignment work to budget, time and quality requirements.

·
Document all work in
accordance with agreed standards, and with re-use in mind.

·
Analysis of MCA UI and
EPAs.

·
Ensure that the MCA
Standards are followed in all stages of development.

Stakeholder Management and Leadership

·
Contribute to operational
objectives of wider team and support any organisational transformation
initiatives.

·
Evaluate and review
emerging system engineering methods, tools and standards. Look for ways to
apply as appropriate.

Decision-making and Problem Solving

·
Create/Review component
analysis to ensure compatibility with the end-to-end system design.

·
Collaborate with other
component design and build teams, ensuring that end-to-end system design is
followed.

·
Ensure that technical engineering
quality standards / benchmarks are met, taking remedial action where there are
quality shortfalls.

What
were looking for:

·
End-to-end software
development lifecycle

·
Experience in at least one programming language
preferably Java.

·
Software development methodologies,
e.g. waterfall, agile

·
Awareness of leading-edge
tools, techniques and services within IT

·
Knowledge of Testing and
Mocking Framework.

·
Experience of the following:

o
Various Analysis
deliverables like RTM, DTM

o
Interacting with
stakeholders to resolve queries

o
Creating Wireframes and
Prototypes

o
Technical analysis of the
code

o
Functional knowledge in
Retail Banking (atleast 3 years)

o
Understanding performance
impact of the design

o
Impact Analysis and
Estimation for a change

Skills
that will help you in the role:

Graduation
from reputed institute

Where
will you be working?
Pune
*Barclays
recently announced the creation of a new world-class campus at Gera Commerzone
located in Kharadi. All Pune based roles will eventually start to move to this
new campus starting September 2019. In the run up to that, during the course of
2018, there may be transitory movements of some roles to other temporary sites.
Please speak with your recruiter about the specific location plans for your
role.

Be More
at Barclays

At
Barclays, each day is about being more as a professional, and as a person.
Be More @ Barclays represents our core promise to all current and future
employees. Its the characteristic that we want to be associated with as an
employer, and at the heart of every employee experience. We empower our
colleagues to Be More Globally Connected, working on international projects
that improve the way millions of customers handle their finances. Be More
Inspired by working alongside the most talented people in the industry, and
delivering imaginative new solutions that are redefining the future of finance.
Be More Impactful by having the opportunity to work on cutting-edge projects,
and Be More Valued for who you are.

Interested
and want to know more about Barclays? Visit home.barclays/who-we-are/ for more
details.

Our
Values

Everything
we do is shaped by the five values of Respect, Integrity, Service, Excellence
and Stewardship. Our values inform the foundations of our relationships with
customers and clients, but they also shape how we measure and reward the
performance of our colleagues. Simply put, success is not just about what you
achieve, but about how you achieve it.

Our
Diversity

We aim
to foster a culture where individuals of all backgrounds feel confident in
bringing their whole selves to work, feel included and their talents are
nurtured, empowering them to contribute fully to our vision and goals.

Our
Benefits

Our
customers are unique. The same goes for our colleagues. That's why at Barclays
we offer a range of benefits, allowing every colleague to choose the best
options for their personal circumstances. These include a competitive salary
and pension, health care and all the tools, technology and support to help you
become the very best you can be. We are proud of our dynamic working options
for colleagues. If you have a need for flexibility, then please discuss this
with us.",Business Analyst,Pune,4.0,$10+ billion (USD),"INR  24,69,598",Finance,10000+ Employees,Company - Public
"Arlo Technologies, Inc.
4.0",-1,2018,-1,Computer Hardware & Software,"Billing System Analyst
Function

IT

Location


India

Apply Now

Job Brief


Billing System Analyst

ARLO IT team is seeking a top tier candidate for the Billing Systems Analyst role to design solutions and deliver initiatives related to subscription billing systems and ecommerce platforms.

Qualified candidate must have a good background in financial systems/Rev Rec/Billing Areas.

Responsibilities:
Primary role will include hands-on support for subscription billing systems (Aria System)
Manage configuration and setup of subscription billing systems and ecommerce platform.
Work with internal/external vendor for development billing applications and/or mobile applications
Work closely with product managers, software engineering teams and QA teams on end-to-end flow development and testing
Act as solution architect for multiple initiatives and program related to enhancing subscriptions sales and other business initiatives
Design, test and support integrations with Tax systems, ERP, Data Warehouse and reporting systems.
Build strong relationships with internal customers, peers, and business stakeholders
Provide support to finance and other business teams for quarterly and yearly financial close cycle and reporting.
Partner with Internal Control and Audit function to establish, test and document key application controls and ensure compliance.
Desired Skills and Experience

Key requirements:

Soft Skills
Strong Technical background, Analytical, and Problem-solving skills are required
Excellent written and verbal communication skills.
Ability to work collaboratively within a team environment of cross functional and cross vendor teams, and deliver to aggressive timelines
Ability to adapt and learn new technology platforms, conduct POC and guide solution design
Able to manage multiple activities across multiple projects simultaneously
Technical Skills
Total 7+ years of hands-on experience in IT / enterprise applications
5-7 Years of experience in business analysis
3-5 years of hand-on experience with Revenue Recognition/Billing systems
Strong understanding of general business processes, financial process and best practices
Awareness of web, database, and object oriented software technologies
Good project management skills in order to organize and implement business process solutions; ability to track and document project deliverables.
Experience in working for a company of similar business model or market Segment
Experience in hands on design, prototyping, development, configurations, testing and other implementation activities
Prior experience of subscription billing(Zuora, Aria etc) or ecommerce applications (Demandware etc.) will be a big plus
Qualifications
Bachelor’s or Master’s degree in Business, Information Technology or related field",Billing System Analyst,India,4.0,Unknown / Non-Applicable,INR  352 - INR  379,Information Technology,201 to 500 Employees,Company - Public
"Simeio Solutions
4.3",-1,2008,-1,IT Services,"Job Role: Consultant/ Sr. Consultant – Business Analyst
Location: Mumbai / Bangalore

Key
Skills: Business
Analysis, Requirement gathering, Use Case, Client Interaction, User
Documentation, Gap Analysis, Client Relationship Management

The Opportunity:

The Business Analyst is responsible for supporting delivery and
support of high quality Identity and Access Management services while adhering
to Simeio's standards and best practices. The ideal Candidate would have
experience primarily in Identity Access Management to serve as a member of
multiple client engagement teams that assist clients in employing proper
information systems, resources, and controls to maximize efficiencies and
minimize risk. Ability to take up challenges, adapt to the business needs, and
staying focused on delivering results are essential to the success of this role.

At present the services fall under one of the following eight (8)
categories which are delivered via Identity as a Services Solutions (IDAAS):

·
Access Governance

·

Identity Administration

·
Privileged Identity

·

Access Management & Federation

·
Core Directory Services

·

Security & Risk Intelligence

·
Data Security & Loss Prevention

·

Cloud Security

Key Accountabilities:

Technical Competencies:

·
Creating testing cases & help in execution and also involved
in stakeholder communication and ensure customer satisfaction

·

Able to successfully research, de- bug, and solve system/ program
problems

·
Involved in Monitoring & tracking of tasks, module/ Project
metrics collection, status Reporting

·

Demonstrate successful completion of analysis, technical design,
and programming assignments within the group

·
Ability to help PL / PM to conceptualize, design, construct, test
and implement technology solutions.

Competencies and Behavioral Competencies:

·

Project requirements gathering, analysis and management.

·
Training project team members

·

Participates as a team member and fosters teamwork by inter- group
coordination within the modules of the project.

·
Effectively collaborates and communicates with the stakeholders
and ensure client satisfaction.

·

Train and coach members of project groups to ensure effective
knowledge management activity.

·
Liaise with project stakeholders on an ongoing basis

Must
Have Requisites:

·
Demonstrated relevant work experience 4 years in a Business
Analyst or similar role with an overall experience of 4-7 years.

·

Experience working in Identity & Access Management Projects

·
Very Strong analytical and data analysis tools with experience in
handling larger data sets; a keen problem-solver

·

Strong, proactive task-based approach with focus on delivery often
will act as individual contributor

·
Ability to work with limited supervision and make qualified
decisions with ability to escalate where needed

·

Excellent time management skills

·
Excellent interpersonal skills, written skills and strong,
broad-based communications skills - ability to discuss range of topics with a
variety of business managers from operations through executive and build strong
working relationships

·

Self-motivated & confident with the ability to demonstrate
leadership, challenging and influencing change where necessary

·
Ability to manage shifting priorities and work in a fast paced
environment

Good to Have Requisites:

·

Excellent MS Excel skills required; knowledge of statistical tools
a plus

·
Learning agility to be cross trained

Educational Qualification:

·

Bachelor's Degree from an accredited college or university in
technology or business management related areas

Why Simeio?
Customers of all sizes globally across all sectors rely on Simeio Solutions to
help secure their organizations. An innovative and industry leader, Simeio offers
Identity as a Service (IDAAS), Identity and Access Management (IAM) managed
services, and Advisory services. Its full range of services is powered by an
industry first IAM Virtualization Platform delivered via Simeio's Identity
Intelligence Center (IIC). Simeio is a cutting-edge growing company with a
strong dedication to its employees and their opportunity for growth and
success. Simeio is Recognized by Gartner as the number one company in Traditional/Legacy
Workforce IDAAS Use Case and by Deloitte's 2016 Technology Fast 500™ recognized
as one of the fastest growing technology companies in North America.",Business Analyst,Bengaluru,4.3,$25 to $50 million (USD),"INR  8,24,820",Information Technology,501 to 1000 Employees,Company - Private
"JPMorgan Chase & Co.
3.9",-1,1799,-1,Investment Banking & Asset Management,"As a member of our Business Analysis team, you'll play a crucial role in identifying, improving, and developing technology solutions that drive our strategic goals. This is a tremendous opportunity to learn about high-priority initiatives and collaborate with colleagues throughout the firm. Working at the intersection of business and technology, you'll sharpen your understanding of business processes and data analysis, while continuing to develop your leadership, management and communication skills. No matter where your career ultimately takes you, you'll make a meaningful impact and lasting connections with outstanding colleagues and mentors.

This role requires a wide variety of strengths and capabilities, including:

•Have strong project coordination skillset and be able to assess and recommend business requirements

•Have strong knowledge of Business Process Testing and able to work with automation team on test execution

•Manage the deliverables, be able to run UAT demos and gather feedback, coordinate UAT sign offs, post roll out support

•Coordinate across various users to gain consensus, document out test plans and sign offs from stakeholders.

•Participates in all phases of the IT Project Delivery Framework, including review of complex business and functional requirements.

•Analyze existing capabilities and identify priority gaps and opportunities.

•Supporting software applications or components currently in production and/or in development in conformity with the JPMC IT Project Delivery Framework. Makes recommendations based on assessed risks to quality by applying various verification and validation techniques in coordination with the development team (QA leads, project managers, development managers, change management and QA core members).

•Accountable for internal process and procedure improvement projects and manages initiatives supporting continual QA process improvements and their integration with other process development activities.

•Assesses risk to quality service based upon results of verification and validation.

•Manages verification and validation activities for all production modifications.

•Maintains document template libraries and internal project documentation including releases, and changes.

Preferred Skills/Experience:

•Overall 6+ Years of experience and 2+ yrs. of Business Analysis experience.

•Excellent communication and ability to connect with business stakeholders, run demos, collate input and drive adoption of toolsets and functionalities

•Working knowledge of Jira filters and dashboards.

•Working knowledge of ALM for test planning, execution and tracking.

•Strong data analysis skills.

•Strong troubleshooting skills.

•Hands on GUI testing experience.

•Good knowledge on requirement gathering processes

•Ability to create detailed test scenarios for technical and/or business clients.

•Execute test scripts.

•Solid understanding of the Software Development Life Cycle (SDLC).

•Excellent communication, problem solving, and interpersonal skills.

•Experience working with resources in a global workforce environment is preferred.

•Excellent listening, presentation, and interpersonal skills as well as written and oral communication skills

•Understanding of different software development life cycles (Iterative, Agile, Waterfall, Iterative) and software quality assurance processes.

•Knowledge of financial services industry or similar.

•Willing to work in a fast-paced and dynamic environment where daily, weekly software updates coincide with major project releases.

•Work closely with other Business Analysts and Developers for all project deliverables.

•Experience working in a team-oriented, collaborative environment.

•Ability to work individually and as part of a team.

•Keen attention to detail.

•Inquisitive approach not likely to take requirements and situations at face value.",Business Analyst,Bengaluru,3.9,$10+ billion (USD),"INR  16,32,068",Finance,10000+ Employees,Company - Public
"Colt Group S.A.
4.2",-1,1992,-1,Telecommunications Services,"Colt provides network, voice and data centre services to thousands of businesses around the world, allowing them to focus on delivering their business goals instead of the underlying infrastructure.
Role title:

Consultant- Business Analysis and Process Management
Colt Level:

S2- Core
Business Unit:

CTO
Reports to:

Vertical Director
Location:

Europe/India

Role purpose
The role holder will lead the Business and process Analysis work-streams for the Voice related projects and programs in line with Colt’s Service Excellence strategy, contributing to the colt strategic program, The role holder advocates and effects change by influencing decision makers and persuading operational people to adopt different working practices. He/she deploys effective business improvement approaches tools and techniques. He/she aligns Business requirements with business strategy in a delivery role. Responsible for the content and process / system / business design and business interaction/alignment of the overall programme.

Key accountabilities
.

Professional:

• Manage requirements.

• Analyse stakeholders

• Model complex business processes- As is and to Be in process repository

• Underpin the requirements & design with by requesting / performing in depth & ad-hoc

analytical analysis for existing business performance using the data analysis function. Use

these to prioritize requirements and predict outcomes.

• Build risk control matrix where possible

• Build Data Models

• Facilitate Customer experience workshops and develop Customer journeys

• Understand the rationale for analysis approach and contribute to deciding the agreed

approach

• Investigate business problems and opportunities using root cause analysis

• Assess impact of change request

• Contribute to management of benefits throughout the change lifecycle

• Facilitates scoping and business priority-setting for business initiatives

• Promote best practice principles

• Work within Agile or Waterfall delivery methodology

Business:

• Understand structure, contents and rationale of the business case

• Understand basic principles of business finance

Personal:

• Deliver presentation to operations and tactical management

• Communicate persuasively (written and verbal)

• Apply problem solving techniques

• Facilitate small groups (workshops and meetings)

• Build relationship with stakeholders

• Ensure adherence to project or programme scope

• Demonstrate Leadership potential by challenging/influencing stakeholders

• Take proactive actions with minimal supervision

• Coaching peers with less experience or skills

Key performance indicators (financial and non-financial)
Identifying, draft and gain sign offs of all the business requirements
Identify the change in the operating model and communicate and present it to the stakeholders proactively.
Identifying the corrective actions to avoid reoccurrence of similar faults.
Document As- is and to Be processes in process tools.

Relationships and key contacts
Interface with service Delivery
Interface with service Assurance
Interface with Product management team
Interface with Novitas core project team
Interface with Engineering
Interface with IT Architects

Role specific requirements
Skills & Experience

Track record of successful Business Analysis and process improvement work (can be operational optimizations in a Team-leader or Managers Role) in both waterfall and AGILE project deliveries
Capability to gather, validate and understand a wide variety of detailed information yet remain focused on the ‘big picture’
Ideally good understanding of existing organisation, key stakeholders and existing processes
Flexible approach and an ability to operate effectively with uncertainty and change; operates effectively in a geographically spread organisation
Sound knowledge of Internal Colt applications, systems and tools and experience in driving service improvement and delivery capability within an operationally focused environment
Ability to manage ambiguity, risk, and changing direction of projects and strategies
Ability to work effectively in high-pressure situations that require sound decision making and may involve confidential or sensitive matters
Has experience at applying personal knowledge to support Service Delivery functions

Person specification
Strong communication and interface skills to other functional areas.

Qualifications
Engineering Graduate in IT or Electronics
Graduate /Diploma in IT or Electronics

Behaviours

Example Behaviours :

https://coltinternal.sharepoint.com/sites/hr/Colt%20Intranet/Documents/About%20Colt/Colt%20Vision,%20Values%20and%20Strategy.pdf?csf=1&cid=82c4b71d-98dd-47ac-8e7a-5abf1640046c

Others
Be aware of colt information security, business continuity, quality and other ISO or equivalent policies/ industry standards and discharge duties against them as appropriate.
Identify risks related to process and information security and treat/ mitigate the same as appropriate

Document control
Version/Data

Reason for change

Author

Reviewer

Authoriser
V2 – 15th of Nov 2016

Security info added

Andy Cross

Roxana Dobrota

Anuj Mathur
V3-12th of March 2018

Change of Reviewer and Authoriser

Andy Cross

Neha Rathi

Alex Fox

What we offer:

Colt is a growing business that is investing in its people. We offer skill development, learning pathways and accreditation to help our people perform at their best, regardless of role and location.

In addition to offering competitive salaries and incentive plans, a range of benefits and local rewards packages are offered to staff. Colt recognises the importance of a work life balance.

Some benefit examples are:
•Flexible working and relaxed dress code
•Two days annually to spend on volunteering opportunities
•Pension and insurance options
•Access to a virtual business school for on-going learning
•Business mentoring
•Discounts with local hospitality and retail providers",Consultant - Business Process Analyst 1,Gurgaon,4.2,Unknown / Non-Applicable,"INR  13,64,055",Telecommunications,5001 to 10000 Employees,Company - Private
