Company Name,Competitors,Founded,Headquarters,Industry,Job Description,Job Title,Location,Rating,Revenue,Salary Estimate,Sector,Size,Type of ownership
"Amazon.com, Inc.
4.3",-1,1994,-1,Internet,"We need TM1 application developers! Within Amazons Corporate Financial Planning & Analysis team (FP&A), we enjoy a unique vantage point into everything happening within Amazon. As part of that, our team designs, builds & maintains an integrated planning & reporting platform that enables hundreds of finance representatives across the globe.
In addition to requiring a high level of technical expertise within Cognos TM1, this role is about understanding the needs of the business, the data behind it, and how to transform this information into technical solutions that allow the business to make swift, informed decisions. Ideal candidates will have expertise in all phases of the software development life cycle in building models that scale over time while balancing accuracy, flexibility and speed.
The data flowing through our platform directly contributes to decision-making by our CFO and all levels of finance leadership. If youre passionate about building tools that enhance productivity, improve financial accuracy, reduce waste, and improve work-life harmony for a large and rapidly growing finance user base, come join us!





Basic Qualifications

- Bachelor's degree in Information Systems, Computer Science, Finance, Accounting, Economics, Mathematics or a related technical discipline.
- 4+ years of Cognos TM1 work experience in developing end-to-end analytics solutions, including system configuration, model building, data security, and reporting.


Preferred Qualifications

- Experience advocating and proliferating best practices in reporting and analysis, including data integrity, test design, analysis, validation, and documentation - Experience in providing risk assessment for new functionality and enhancements, and identify process improvement opportunities to drive innovation - Relevant corporate finance experience exhibiting knowledge of financial planning functions and related processes. - Excellent communication (verbal and written) and interpersonal skills, and an ability to effectively communicate with both business and technical teams. - Quick learner with a positive attitude and professional demeanor, and strong analytical and troubleshooting skills.- Direct experience using Business Intelligence (BI) reporting tools, preferably Cognos v10x (Report Studio, Analysis Studio, Workspace, Framework Manager), or similar technology (OBIEE, Business Objects, Tableau, MicroStrategy, SAP, etc.). - Experience developing scorecards and dashboards. - Experience with dimension management software processes and MDM tools (Oracle DRM) - Advanced knowledge of SQL, Oracle, OLAP, and data warehousing concepts. - Familiarity and development experience with web services technologies is a strong plus (e.g. HTTPS, REST, XML, JSON, etc). - JAVA/PERL/Ruby/Python scripting language experience. - Experience with third-party ETL tools (IBM DataStage or Data Manager, Informatica, etc). - Familiarity with AWS solutions such as EC2, DynamoDB, S3, Redshift, and Aurora.
Amazon is an Equal Opportunity-Affirmative Action Employer Minority / Female / Disability / Veteran / Gender Identity / Sexual Orientation",Big Data Engineer,Bengaluru,4.3,$10+ billion (USD),"INR  14,39,361",Information Technology,10000+ Employees,Company - Public
"Tredence Analytics Solutions Private Limited
3.5",-1,2013,-1,Consulting,"Big Data Engineer

Bengaluru, India
JOB DESCRIPTION

Develops data architectures and pipelines by;
Understanding requirements;
Understanding deadlines;
Understanding systems flow, data usage, and work processes;
Working in tandem with the Analytics team and providing inputs as and when required
Investigating problem areas;
Follow Agile and Scrum practices;
Be thought partner to the onsite counterpart in creating the data charter for the client
Should be able to lead client calls and answer design specific queries
Documents and demonstrates solutions by developing documentation in the forms of flowcharts, layouts, diagrams, charts, code comments and clear code;
Provides information by collecting, analyzing, and summarizing development and service issues;
Accomplishes engineering and organization mission by completing related results as needed and on time with high quality;
THE IDEAL CANDIDATE WILL

Thorough understanding of the entire Hadoop Ecosystem
Should have created convoluted data-pipelines
Should have expertise with more than one of the following Hive, Map Reduce, Pig, Oozy, Spark
Should have worked with clusters from different distributors namely MapR, CloudEra, Hortonworks
Should have worked extensively on data modeling and data lake creation
Should be able to estimate, design pipelines based on High data volumes and create base data assets for analytical work to commence
Proficient with Ubuntu/Linux and shell scripting
Should be aware of one Scripting language namely Python/Scala/Java
Expert in performance tuning Hive queries based on storage formats and partitioning
Strong fundamentals in SQL
Experience with Streaming data sources and NoSql databases is a plus
ELIGIBILITY CRITERIA

2 to 6 years of relevant experience
Bachelor’s and/or Master’s degree in computer science or equivalent experience
Strong communication, analytical and problem-solving skills with a high attention to detail
Send your CV to careers@tredence.com",Big Data Engineer,Bengaluru,3.5,$10 to $25 million (USD),"INR  6,80,638",Business Services,501 to 1000 Employees,Company - Private
"Condeco
3.8",-1,2005,-1,Computer Hardware & Software,"Title: Data Engineer

Skills: Data Warehouse, Big Data, Power BI, Hadoop, ETL, Machine Learning, Python, cloud, Data Governance, Mongo DB

Location: DLF Cyber Hub, Gurugram

Company Summary:
We’re the global leader in workspace scheduling technology. We make it easy to find and book space to meet up and work together. We provide workspace scheduling software to over 1,000 of the world’s biggest brands, integrating meeting room and workspace reservation solutions that help remove friction in the workplace and free businesses and their people up to get the most out of their working day.

Responsibilities:
Building the right infrastructure required for optimal extraction, transformation, and loading of data from a wide variety of data sources.
Building data pipelines.
Data warehousing, and building ETL pipelines.
Understand the Business context, objectives and requirements.
Involvement in Requirement Analysis, Design, Development, Unit Testing, System Integration Testing and other facets of testing for example but not limited to Performance Testing.
Convert functional specifications from business requirements into programming instructions for technical development of analytics data pipelines.
Develop industrialized solutions leveraging Agile and DevOps methodologies.
Monitor operating efficiency and optimize solution execution performance.
Work with stakeholders including the product owner, data and design teams to assist with data-related technical issues and support their data infrastructure needs.
Create and maintain optimal data pipeline architecture.
Solve Big Data and Distributed Data Streaming problems using latest technologies.
Perform root cause analysis on internal and external data and processes to answer specific business questions and identify opportunities for improvement.
Manipulate, process and extract value from large disconnected datasets.
Build processes supporting data transformation, data structures, metadata, dependency and workload management.
About You:
Experience with Power BI or other BI tools such as Qlikview, Tableau, Spotfire, Cognos is required.
Hadoop, Spark, Kafka, Scala, Python, DB2, MySQL, Oracle, no-SQL databases like MongoDB, Elastic Search.
Preferred Technical and Professional Expertise.
Enterprise data lakes, data analytics, reporting, in-memory data handling, enterprise integration tools, etc.
Experience with data warehousing and building ETL pipelines.
Good understanding of industry best practices for data governance and security.
Possess strong knowledge in designing database models to store structured & unstructured data efficiently and in creating effective data tools for analytics experts.
Comfortable in building effective analytical tools that utilize the data pipeline to provide actionable insights into data synchronization, reporting, operational efficiency and related areas.
Expert in setting up effective pipelines to capture data from multiple sources into the enterprise centric storage.
Good communication skills.
Benefits:
Health insurance fully paid – Spouse, children and Parents
Accident insurance fully paid
Transport allowance
Gratuity fully paid
25 days holiday
7 paid sick days
10 public holidays
Company Information:
Follow us on Twitter | LinkedIn | YouTube
Condeco are proud to be an equal opportunity employer. We are committed to treating all individuals in a fair and equal manner by creating an inclusive and open environment for all employees",Data Engineer,Gurgaon,3.8,$25 to $50 million (USD),"INR  16,37,214",Information Technology,201 to 500 Employees,Company - Private
"Colgate-Palmolive Company
4.0",-1,1806,-1,Consumer Products Manufacturing,"Relocation Assistance Offered Within Country
# 83461 - Mumbai, Maharashtra, India

We are looking for a savvy Data Engineer to join our growing team of analytics experts. Data Engineers will be responsible for expanding and optimizing our data and data pipeline architecture, as well as optimizing data flow and collection for cross functional teams. The ideal candidate is an experienced data pipeline builder and data wrangler who enjoy optimizing data systems and building them from the ground up. The Data Engineer will support our software developers, data analysts and data scientists on data initiatives and will ensure optimal data delivery architecture is consistent throughout ongoing projects. They must be self-directed and comfortable supporting the data needs of multiple teams, systems and products. The right candidate will be excited by the prospect of optimizing or even re-designing our company’s data architecture to support our next generation of products and data initiatives.

Roles and Responsibility:

Create and maintain optimal data pipeline architecture,
Assemble large, complex data sets that meet functional / non-functional business requirements.
Identify, design, and implement internal process improvements: automating manual processes, optimizing data delivery, re-designing infrastructure for greater scalability, etc.
Build the infrastructure required for optimal extraction, transformation, and loading of data from a wide variety of data sources
Assist with data-related technical issues and support their data infrastructure needs.
Create data tools for analytics and data scientist team members that assist them in building and optimizing our product into an innovative industry leader.
Work with data and analytics experts to strive for greater functionality in our data systems.

Experience

We are looking for a candidate with minimum 2 years of experience in a Data Engineer role
Experience building and optimizing ‘big data’ data pipelines, architectures and data sets.
Experience performing root cause analysis on internal and external data and processes to answer specific business questions and identify opportunities for improvement.
Build processes supporting data transformation, data structures, metadata, dependency and workload management.
A successful history of manipulating, processing and extracting value from large disconnected datasets.
Experience supporting and working with cross-functional teams in a dynamic environment.
They should also have experience using the following software/tools:
Experience with relational SQL and NoSQL databases: MongoDB, Neo4j, etc
Experience with cloud services: GCP, AWS, etc
Experience with object-oriented/object function scripting languages: Python, Java, etc.
Experience with big data tools: Hadoop, Spark, Kafka, etc.
Experience with Data Flow, Data Pipeline and workflow management tools: Cloud Composer, Airflow, Luigi, etc.

Qualification & Competencies

Bachelor’s degree required, Graduate degree in Computer Science, Statistics, Informatics, Information Systems or another quantitative field is preferred
Working SQL knowledge and experience working with relational databases, query authoring (SQL) as well as working familiarity with a variety of databases.
Strong analytic skills related to working with unstructured datasets.
Strong problem solving skills with an emphasis on product development.
Strong experience with test driven development methodologies.
Strong oral & written communication skills with an ability to express complex technical concepts in business terms and business needs in technical specifications
A drive to learn and master new technologies and techniques.

Equal Opportunity Employer
Colgate is an equal opportunity employer and all qualified applicants will receive consideration for employment without regard to race, color, religion, gender, gender identity, sexual orientation, national origin, ethnicity, age, disability, marital status, veteran status (United States positions), or any other characteristic protected by law.

Are you interested in working for Colgate-Palmolive? You can apply online and attach all relevant documents such as a cover letter and resume or CV. Applications received by e-mail are not considered in the selection process. Become part of our team. We look forward to your application.

Colgate-Palmolive is a leading global consumer products company, tightly focused on Oral Care, Personal Care, Home Care and Pet Nutrition. Colgate sells its products in over 200 countries and territories around the world under such internationally recognized brand names as Colgate, Palmolive, elmex, Tom’s of Maine, Sorriso, Speed Stick, Lady Speed Stick, Softsoap, Irish Spring, Protex, Sanex, Elta MD, PCA Skin, Ajax, Axion, Fabuloso, Soupline and Suavitel, as well as Hill’s Science Diet and Hill’s Prescription Diet.

For more information about Colgate’s global business, visit the Company’s web site at http://www.colgatepalmolive.com. To learn more about Colgate Bright Smiles, Bright Futures® oral health education program, please visit http://www.colgatebsbf.com. To learn more about Hill's and the Hill’s Food, Shelter & Love program please visit http://www.hillspet.com. To learn more about Tom’s of Maine please visit http://www.tomsofmaine.com.

Reasonable accommodation during the application process is available for persons with disabilities. Please contact Application_Accommodation@colpal.com with the subject ""Accommodation Request"" should you require accommodation.",Data Engineer II / Sr Data Engineer,Mumbai,4.0,$10+ billion (USD),"INR  7,19,698",Manufacturing,10000+ Employees,Company - Public
"phData
2.9",-1,2014,-1,IT Services,"About phData

We build next-generation strategic platforms helping customers to save money and unlock real business value for our customers and the community. If you are inspired by innovation, hard work, and a passion for data, we want to hear from you.
Our Commitment – you will be working in a fast-moving environment with the brightest and most experienced minds in technology. We're committed to constant learning and innovation.
Our Work – you'll be helping companies answer questions and create products that, until now, were too big, too expensive, and too complex to accomplish.
Our Technology – we focus on building and deploying disruptive big data technologies. If you have experience in or passion for Hadoop and its supporting technologies, we want to hear from you!
In addition to the phenomenal growth and learning opportunity, we offer competitive compensation and excellent perks including base salary, annual bonus, and extensive training - in addition to generous PTO, flexible hours and comprehensive Insurance cover.

Passionate about Big Data, Data Science, and Machine Learning Algorithms? Be part of a team of industry pioneering experts that operate some of the largest analytics and data science infrastructure systems at phData. Our customers apply these technologies on terabytes of data a day on petabyte-scale infrastructure.

Job Information

Technical Responsibilities
Hands-on Engineering of Data Processing applications
Experience with Big Data technologies, assisting customers in building software solutions on-prem or cloud.
Very strong understanding of SQL alongside traditional/conventional data warehousing design patterns.
Hands-on experience in developing Big Data applications using Hadoop technologies such as Spark (Scala or PySpark), Map Reduce (Java), YARN, HDFS, Hive, Impala, Sqoop, Oozie, HBase, Kudu.
Good understanding of UNIX shell scripting.
Develop analytical functionality and complex transformation that will be finally deployed in production data platforms.
Good understanding of Big data design patterns
Hands-on experience troubleshooting, optimizing, and enhancing the big data pipeline and bring improvements.
Experience & good proficiency with at least one programming language (Java, Scala, Python)
Extensive experience with at least one major Hadoop platform (Cloudera, Hortonworks, MapR)
Worked and deployed at least one data engineering application using cloud-native data platform and services (example EMR or Redshift in AWS or Data factory in Azure or BigQuery in GCP)
Strong troubleshooting and performance tuning skills.
Very well versed with continuous integration and deployment procedure considering the bigdata stack on-prem or cloud environment.
Ability to analyze business requirement user stories and translate them into system requirement specifications.
Experience working under the agile delivery methodology.
Behavioral Requirement
Demonstrated ability to work independently
Good communication skills and documentation skills.
Good & Collaborative Team Player.
Good organizational and time management skills
An ability to work to deadlines
A good eye for detail
Must be ready to learn and adapt to new technologies.


Qualifications Requirements
BE/BTech in computer science Or MCA with sound industry experience (2-4 years)
A minimum of 2 years' experience in hands-on development
Experience in Java, Scala or Python (Production level coding)
Experience in a cloud-based environment with PaaS & IaaS
Work iteratively in a team with continuous collaboration",Data Engineer,Bengaluru,2.9,Unknown / Non-Applicable,"INR 403K - INR 2,066K",Information Technology,51 to 200 Employees,Company - Private
"Blue Jeans Network, Inc.
3.0",-1,2009,-1,Enterprise Software & Network Solutions,"Develop maintain and enhance Bluejeans's Big data warehouse using state of the art ETL frameworks and technologies

Description
Develop and extend ETL pipeline for a number data systems used by Engineering, Operations, Sales, Marketing and Finance and product.
Build and integrate reporting system for ad-hoc queries and business dashboards
Help architect our Big Data system, using as much as practical third-party solutions
Work with outside vendors and other staff on integration projects
Define Data Quality and Data Governance processes to help the system scale
Help resolve data issues, troubleshoot system problems and assesses priorities
As needed, assist other staff with reporting, debugging data accuracy issues and other related functions.


Qualifications :
3-6 years of strong experience in developing reporting/ETL solutions using any standard third party tools such as Informatica, Abnitio, Tableau
Experience with distributed data processing technologies such as Spark/Hadoop/EMR
Programming experience in of python or relatedto implement ETL pipelines
Strong SQL, database and SQL performance tuning skills
Strong experience in understanding business requirements and dimensional modelling
Exposure in developing real time pipelines using Kafka/Kinesis or related
Exposure to any third party Reporting tools such as Tableau/Cognos/Business objects preferable
Exposure to machine learning a plus
Verizon recently acquired BlueJeans and plans to integrate BlueJeans employees into Verizon, including its compensation and benefits programs, in due course. This position will be part of that planned integration.",Data Engineer,Bengaluru,3.0,Unknown / Non-Applicable,"INR  25,20,522",Information Technology,201 to 500 Employees,Company - Private
"Deutsche Bank AG
3.5",-1,1870,-1,Banks & Credit Unions,"Job Description:


Job Title: Associate – Big Data Scala

Location: Pune, India

The Engineer designs and develops application code, implements technical solutions, and configures applications in different environments in response to business problems. To meet the requirements of the business, the Engineer actively participates in the design and architecture of the application or its components, investigates and proposes appropriate technologies to be used, promotes re-usability of existing components and contributes to the creation of frameworks. Assists more junior members of the team and controls their work where applicable.

What we’ll offer you

As part of our flexible scheme, here are just some of the benefits that you’ll enjoy
Best in class leave policy
Gender neutral parental leaves
100% reimbursement under child care assistance benefit (gender neutral)
Flexible working arrangements
Sponsorship for Industry relevant certifications and education
Employee Assistance Program for you and your family members
Comprehensive Hospitalization Insurance for you and your dependents
Accident and Term life Insurance
Complementary Health screening for 35 yrs. and above
Your key responsibilities

Essential:
Hadoop Cloudera distribution – Manager, Navigator
Apache Spark – Streaming , structured streaming, and batch processing.
Big data SQL Engines – Hive & Impala
Scala – Core, Concurrency, Akka Actors
Apache Kafka – Publish , subscribe, partitioning, delivery semantics
HDFS – Access APIs, Operations, CLI
Oracle – SQL, PL/SQL

Nice to have:
Python 3 through the Anaconda distribution
Python Analytics libraries: Numpy, Pandas, Koalas, Arrow, Matplotlob etc
Apache Airflow, Tensorflow, Spark MLib, Scikit
Jupyter Notebooks/Hub
Apache Flink, Flume, Sqoop
Caching Tech – EhCache, Apache Ignite
Cassandra, HBase

How we’ll support you
Training and development to help you excel in your career
Flexible working to assist you balance your personal priorities
Coaching and support from experts in your team
A culture of continuous learning to aid progression
A range of flexible benefits that you can tailor to suit your needs
About us and our teams

Please visit our company website for further information:

https://www.db.com/company/company.htm

Our values define the working environment we strive to create – diverse, supportive and welcoming of different views. We embrace a culture reflecting a variety of perspectives, insights and backgrounds to drive innovation. We build talented and diverse teams to drive business results and encourage our people to develop to their full potential. Talk to us about flexible work arrangements and other initiatives we offer.

We promote good working relationships and encourage high standards of conduct and work performance. We welcome applications from talented people from all cultures, countries, races, genders, sexual orientations, disabilities, beliefs and generations and are committed to providing a working environment free from harassment, discrimination and retaliation.

Click here to find out more about our diversity and inclusion policy and initiatives.",Big Data - Scala - Engineer,Pune,3.5,$10+ billion (USD),"INR  17,08,991",Finance,10000+ Employees,Company - Public
"Snowflake Inc.
4.1",-1,2012,-1,Enterprise Software & Network Solutions,"Snowflake started with a clear vision: develop a cloud data platform that is effective, affordable, and accessible to all data users. Snowflake developed an innovative new product with a built-for-the-cloud architecture that combines the power of data warehousing, the flexibility of big data platforms, and the elasticity of the cloud at a fraction of the cost of traditional solutions. We are now a global, world-class organization with offices in more than a dozen countries and serving many more.

We're looking for a strong Data Engineer to build state of the art Data pipelines for snowflake . In this role, you will work closely with many cross-functional teams to build a data pipeline to ingest data into our internal Snowflake environment . This is a strategic, high-impact role that will also help shape the future of Snowflake products and services.

RESPONSIBILITIES:


Architect & build data pipelines for snowflake .
Manage and improve the data integrity and reliability of data services.
Build data frameworks to onboard new data into our snowflake data warehouse
Foster collaboration among engineering teams, IT & other business groups to ensure data access is secure & are audit-able.
Train distributed team members in data pipelines.
WHAT YOU WILL NEED:


5+ years of experience in Data warehousing, data modeling, and SQL .
3 + years of experience in working on public cloud (AWS, Azure or GCP)
3+ years of experience in MPP or Cloud data warehouse solutions like Snowflake, Redshift, BigQuery or Teradata
Experience in ELT based data pipeline build outs is useful..
Experience with sourcing and modeling data from application APIs.
Strong communication and cross functional collaboration skill

PREFFERED QUALIFICATIONS:


B.S or MS in Computer Science or equivalent practical experience.
5 + years experience in building data pipelines using Python/Java & SQL
Experience in ETL tools is nice to have.
Snowflake is growing fast, and we're scaling our team to help enable and accelerate our growth. We are looking for people who share our values, challenge ordinary thinking, and push the pace of innovation while building a future for themselves and Snowflake.

How do you want to make your impact?

Snowflake is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to age, color, gender identity or expression, marital status, national origin, disability, protected veteran status, race, religion, pregnancy, sexual orientation, or any other characteristic protected by applicable laws, regulations and ordinances.",Data Engineer,Pune,4.1,Unknown / Non-Applicable,"INR 2,219K - INR 2,400K",Information Technology,1001 to 5000 Employees,Company - Private
"JPMorgan Chase & Co.
3.9",-1,1799,-1,Investment Banking & Asset Management,"As a member of our Software Engineering Group, we look first and foremost for people who are passionate around solving business problems through innovation and engineering practices. You'll be required to apply your depth of knowledge and expertise to all aspects of the software development lifecycle, as well as partner continuously with your many stakeholders on a daily basis to stay focused on common goals. We embrace a culture of experimentation and constantly strive for improvement and learning. You'll work in a collaborative, trusting, thought-provoking environment-one that encourages diversity of thought and creative solutions that are in the best interests of our customers globally.

We are looking for a Software Engineer with experience in data warehousing and big data (Hadoop-based data platforms) domain. The role will be responsible for development of a data warehouse migration to a next generation enterprise data hub (EDH). The project will include the migration of reports (Cognos), analytical tools (QlikSense, Qlik View) and applications onto the new environment.
Senior developer/mentor to an existing team, designing solutions, best practices, defining standards and innovative solutions
Senior Dev Ops / TDD Journey inc CICD, Scanning, Code, Performance testing and Test coverage
Development using Agile methodologies (Jira / Scrum) delivered on time and in budget
Transforming existing ETL logic into Hadoop Platform in accordance with Architecture diagrams, performing required analysis & create Jiras
Innovate new ways of managing, transforming and validating data
Embed a culture of quality assurance best practices to the team
Data Quality Management - Establish and enforce guidelines to ensure consistency, quality and completeness of data
Learning cutting edge technologies and applications to greenfield projects
Support on legacy jobs which is primarily developed using unix shell scripts and oracle
This role requires a wide variety of strengths and capabilities, including:
Minimum 4+ Experience in a Big Data technology (Hadoop and Spark Architecture, Spark SQL, HIVE, SQOOP, Impala, HBASE, Entitlements etc., )
4+ years of Experience in Data warehouse or Database back ground
Strong Experience with UNIX shell scripting
Experience with Datawarehouses
Experience in Map Reduce
Experienced in writing SQL queries
Communicate complex issues in a crisp and concise fashion to multiple levels of management
Excellent interpersonal skills necessary to work effectively with colleagues at various levels of the organization and across multiple locations
Experience in the below would be advantageous:
Experience in cloud implementation
Experience in implementing complex ETL transformations in Hadoop platform
Experience with Python
Experience performing data analytics on Hadoop-based platforms
Experience in implementing distributed and scalable algorithms (Hadoop, Spark)
Experience in DevOps","Software Engineering - Big Data, Data warehousing - Bangalore",Bengaluru,3.9,$10+ billion (USD),"INR  16,32,068",Finance,10000+ Employees,Company - Public
"Telstra Corporation Limited
3.7",-1,1901,-1,Telecommunications Services,"Employment Type
Permanent
Closing Date
11 Aug 2020 11:59pm
Job Title
Data Engineer
Job Description


Telstra is Australia’s leading telecommunications and technology company, with operations in more than 20 countries, including in India where we’ve launched our new Innovation and Capability Centre (ICC) in Bangalore.

We’re combining innovation, automation and technology to solve the world’s biggest technological challenges in areas such as Internet of Things (IoT), 5G, Artificial Intelligence (AI), Machine Learning, and more. Join us on this exciting journey, and together, we’ll reimagine the future.

Our Software Engineering teams are building a new platform to support Microservice APIs, developed by our teams of developers spread across the globe. We're using industry leading technologies and design principles to encourage best practice application design / development and operation, such as automation and CI/CD.

As a Data Engineer, you will develop, maintain, test and evaluate big data solutions within organisations and would also be involved in the design of big data solutions. You will plan, coordinate, and execute all activities related to the requirements interpretation, design and implementation of data analytics applications.

In this role, your key responsibilities are…
Design and develop data analytics applications.
Review vendor designs and recommend solutions based on industry best practices.
Provide technical governance across data analytics solutions at Telstra.
Assess and improve the efficiency and effectiveness of the data analytics application solutions to ensure user requirements and business objectives are met in a timely and cost-effective manner.
Understand overall business landscape and develops innovative solutions to help improve productivity
Coordinate with technical resource within and outside of Feature team.
Monitor process of software configuration/development/testing to assure quality deliverable.
Ensure standards of QA are being met.
Review deliverables to verify that they meet client and contract expectations; Implement and enforce high standards for quality deliverables.
Analyses performance and capacity issues of the highest complexity.
Assists leadership with development and management of new application capabilities to improve productivity.
Provide training and educate other team members around core capabilities and helps them deliver high quality solutions and deliverables/documentation.
Design/develop user requirements, test and deploy the changes into production.
To be successful in the role, you must have…
Degree level IT qualifications in Software or Systems Engineering.
Minimum 3 years of experience in IT of building and supporting Data Engineering pipeline using Big Data Platform.
Extensive experience using Hortonworks Data Platform.
Experience in Apache Hive, Spark, Zeppelin and Ambari.
Proven expertise of working on Azure Cloud using Databricks, Azure Event hub Flume/Kafka/Spark streaming, Azure Data Factory.
Experience of using Informatica for ETL use cases.
Experience of working in Azure DevOps and ARM.
Experience of using Control-m to schedule data engineering workflows.
Experience in designing solutions for multiple large data warehouses with a good understanding of cluster and parallel architecture as well as high-scale or distributed RDBMS and/or knowledge on NoSQL platforms.
Experience in translating, loading and presenting disparate datasets in multiple formats/sources including JSON, XML etc.
Good knowledge of NoSQL Databases/ HBase/ MongoDB.
Experience in Programming: Java Spring Boot/ Scala/ Python / SQL and Multi-tenant databases.
Strong problem solving and analytical skills.
Demonstrated high level of written and oral communication skills.
Proven high level of initiative, drive and enthusiasm with excellent time management and an ability to work under pressure.
Desirable to have experience on:
Automation using PowerShell
Rabbit MQ
Jenkins
Power BI
REST API
Salesforce
Our people in India will be at the forefront of technological change as they work collaboratively with, and learn from, world-class experts and have access to the latest training programs and insights for their field.

Alongside your work on leading edge projects, working with us means you'll have access to company perks and benefits that'll reward you for the great work you do. We’re growing, fast, and for you that means many exciting opportunities to develop your career with us at Telstra.

Interested?

If you're excited about the opportunity to be part of a team, committed to delivering amazing experiences for our customers – your next step is to apply!

We’re committed to building a diverse and inclusive workforce. To enable everyone to participate, we’ve developed an ‘All Roles Flex’ policy to consider flexible ways of working for every role. To learn more, visit our Telstra Careers Website: tel.st/allrolesflex

We’re committed to building a diverse and inclusive workforce. To enable everyone to participate, we’ve developed an ‘All Roles Flex’ policy to consider flexible ways of working for every role. To learn more, visit http://tel.st/allrolesflex. We welcome applications from Indigenous Australians, people from diverse cultural and linguistic backgrounds and people living with a disability. We encourage you to talk to us about how we can support you through the recruitment process.",Data Engineer,Bengaluru,3.7,$10+ billion (USD),"INR  11,62,278",Telecommunications,10000+ Employees,Company - Public
