Company Name,Competitors,Founded,Headquarters,Industry,Job Description,Job Title,Location,Rating,Revenue,Salary Estimate,Sector,Size,Type of ownership
"The MathWorks, Inc.
4.4",-1,1984,-1,Computer Hardware & Software,"MathWorks is an industry leader in design automation tools for developing embedded system software. In embedded systems, the need to deploy Deep Learning and Machine Learning algorithms is exploding. These deployments demand optimal balance between high computation performance and limited resources on hardware. You will build technology to achieve the optimal match of the machine learning models to the deployment capabilities in MathWorks design automation products.

MATLAB and Simulink provide ideal toolchains for applying Model-Based Design techniques to solve problems in Artificial Intelligence domain. Transforming those innovative ideas in to a form that allows efficient implementation on an embedded device is challenging. Your role is to develop suites of features that automate this transformation, providing simulation and deployment capabilities. Your goal is to deliver maximum user productivity and outstanding ease of use.

You will:
Hands on in all phases of software development, including user requirements, functional design, implementation, testing, and design validation. Be passionate about increasing productivity and bringing quality features to market at fast pace.
Innovate and advance the technologies in modeling and automatic code generation. Work out of the Bangalore office and collaborate closely with development teams in Natick, MA office. Coordinate work with cross-functional team members in engineering, quality engineering, user experience, and documentation.
Develop a strong understanding of the needs of MathWorks customers for embedded design automation. You will use your expanding knowledge to set vision and drive the next generation of design automation for embedded deployment of AI models.
Be enthusiastic about learning and collaborating with subject matter experts. You will be part of a team who learn from each other in their areas of mastery in software architecture, automated testing, artificial intelligence, numerics, and much more.
Experience as an individual contributor to cross-disciplinary teams designing, developing, and delivering commercial software products
Experience planning projects and meeting delivery deadlines
Strong interpersonal skills to motivate team and influence cross-functional teams across organizational boundaries
Proven industry experience in one or more areas of statistics, optimization, signal processing and computer vision.
A bachelor's degree and 7 years of professional work experience (or a master's degree and 5 years of professional work experience, or a PhD degree, or equivalent experience) is required.",Software Engineer - Embedded Deep Learning,Bengaluru,4.4,$1 to $2 billion (USD),"INR  14,42,411",Information Technology,5001 to 10000 Employees,Company - Private
"AstraZeneca Pharmaceuticals
4.0",-1,1913,-1,Biotech & Pharmaceuticals,"Job Title: Senior Consultant - Deep Learning Engineer
Location: TRIL GTC
GCL: D1

Company


AstraZeneca is a global, innovation-driven bio-pharmaceutical business that focuses on the discovery, development and commercialization of prescription medicines for some of the world's most serious diseases. But we're more than one of the world's leading pharmaceutical companies. At AstraZeneca, we're proud to have a unique workplace culture that inspires innovation and collaboration. Here, employees are empowered to express diverse perspectives and are made to feel valued, energized and rewarded for their ideas and creativity.

Role


We are looking for a Deep Learning Engineer to join our AI Engineering team in Chennai. The ideal candidate will have industry experience working on a range of different Deep Learning fields, e.g. creating data preparation pipelines, modelling and training state of the art deep neural networks (CNNs/RNNs/LSTMs/Transformers) as well as deploying inference pipelines to process unseen data at scale. The position will involve taking these skills and applying them to some of the most exciting data & prediction problems in drug discovery. You will work as part of a global team of deeply technical data scientists, knowledge engineers & machine learning engineers and have the chance to create tools that will advance the standard of healthcare improving the lives of millions of patients across the globe.

We are working in collaboration with our scientists to help develop better drugs faster, choose the right treatment for a patient and run safer clinical trials. Our team empowers our scientists from early development to the late stages in drug development, driving innovation and acting as a catalyst for the adoption of the latest advances in Artificial Intelligence and Data Science. You will work closely with scientists & product teams and learn to deliver DL solutions at scale within the AstraZeneca tech stack, whilst encouraging standard methodologies for DL across the company.

We are looking for deep learning engineers capable of building robust and accurate DL-based systems, tools, and services that serve as infrastructure for practically everyone in AstraZeneca. As a strong software leader and a specialist in building complex systems, you will be responsible for inventing how we use technology, Deep Learning and data to enable the productivity of AstraZeneca.

You will help envision, build, deploy and develop our next generation of data engines and tools at scale.

Key Accountabilities
Understand, develop and optimize highly scalable classifiers and regression models and tools demonstrating machine learning and statistics
Work collaboratively with other DL engineers globally on scientific problems such as audio analytics and image segmentation & classification.
Adapt standard machine learning methods to best exploit modern parallel environments (e.g. distributed clusters, multicore SMP, and GPU)
Deploying machine learning solutions into production.
Optimizing solutions for performance and scalability.
Data engineering, i.e. ensuring a good data flow between database and backend systems with high performance data pipelines.
Implementing custom machine learning code.
Explain analyses and machine learning solutions to technical audiences
Liaise with other teams to enhance our technological stack, to enable the adoption of the latest advances in Data Processing and AI
Being an active member of the AI Engineering team, you will benefit from, and contribute to, our expanding bank of Data Science algorithms and work efficiently with our data science infrastructure. You will get involved in testing and assessing the quality of new tools. Its also likely youll get involved in team recruitment, training provision and coaching
Candidate Knowledge, Skills and Experience


Essential
MS in Computer Science or related quantitative field or Ph.D degree in Computer Science or related quantitative field
2+ years of experience and demonstrable deep technical skills in one or more of the following areas: machine learning, recommendation systems, pattern recognition, natural language processing or computer vision.
1+ year of experience with one or more DL frameworks such as Tensorflow or PyTorch.
Experience with scientific and machine learning libraries e.g., SciPy, SciKit-learn, numPy.
Strong software development skills, with proficiency in Python or Scala preferred
Experience building large scale data processing pipelines
Experience with Cloud computing, Hadoop/Spark, SQL
Ability to explain and present analyses and machine learning concepts to a broad technical audience
Creative, collaborative, & product focused
Desirable
Ability to work with loosely defined objectives and turning these into concrete machine learning problems
Experience training and deploying machine learning models at scale on distributed cloud environments
Experience with reinforcement learning is a plus
Other


The role will have no direct line reports, but task management responsibilities within project or services may occur

We are an equal opportunity employer and value diversity at our company. We do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status.",Senior Consultant - Deep Learning Engineer,Chennai,4,$10+ billion (USD),"INR  9,74,788",Biotech & Pharmaceuticals,10000+ Employees,Company - Public
"Valorem Reply, LLC
3.8",-1,2009,-1,Consulting,"Valorem is seeking a Lead Software Engineer with a passion for using technology to engineer solutions that creatively solve problems to deliver business value, with a focus on teamwork and project success. The role requires a broad and deep capability to map a client's problem domain to a fully developed end state solution. Our clients’ needs require technically strong consultants who are resourceful, communicate well, and have good problem solving skills. The successful candidate will have a solid understanding of modern application development techniques and frameworks and good experience using the Microsoft technology stack for development. As part of a team that provides project based consulting, you will have the opportunity to work in multiple industry verticals, working on multiple teams and projects.
As a Lead Software Engineer, you will be part of a team of talented developers, business analysts, QA analysts and Project Managers building solutions for Fortune 500 and Fortune 1000 Clients. You will participate in the development life cycle including development, testing, and implementation. You will work hand-in-hand with the Architect, Project Managers and Business Analysts to understand the business requirements and build a software solution. As a Lead Software Engineer, you will collaborate closely with the Architect to develop detailed designs that implement the Architect’s overall vision. You will communicate and implement those designs to the Software Engineers, monitoring and leading daily progress. Coordination with other Lead Software Engineers to ensure sufficient, coherent communication and collaboration across work streams on large projects. The position requires strong software development skills and background. In addition to lead functions, you will develop systems hands on, taking on the most technically complex and difficult development activities, and enabling the team to work collaboratively to complete.
General Description & Responsibilities
Mentor and guide the team members in enhancing their technical capabilities and increasing productivity
Understand project scopes, architectural diagrams and requirements to further breakdown more granular requirements and implementing them as part of a project team
Continuously improving while adhering to process compliance of the company, team and project
Solve technically complex problems and prioritize tasks based on technical knowledge
Act as the point of escalation for Software Engineers and other technical delivery roles within project teams
Facilitate and coordinate appropriate and effective communication channels within their project team, and across teams through the other Technical Team Leads
Promote the organization's present technology within a team
Placement Criteria & Requirements
Strong experience (7+ years) with Microsoft & open source Technologies
Proficient developing web-based interfaces, including:
Asp.net MVC, Angular/React.js
JavaScript, jQuery, Typescript
Modern, multi-device and form factor Single Page Applications
Good experience working with Microsoft Azure, including:
Compute & Containers - App Service (Web Apps and API Apps) and Containers
Database & Storage - Azure SQL, Storage Accounts and Table Storage
Integration - Service Bus, Event Grid, API Management and Logic Apps
Security - AAD & Key Vault
Azure Management, including deployments, configuration and the SDK
Comprehensive understanding and experience implementing software design patterns, including:
Basic OO concepts such as encapsulation and abstraction
SOLID principals such as single responsibility, dependency injection and interface driven design.
Proficient with database development in SQL Server, Entity Framework and LINQ.
Proficient with Web APIs. Experience with Microservices preferred.
Experience working with .Net Core preferred
Experience working with open source technologies like Rabbit MQ, Graph QL, Elastic Search & Mongo DB is a plus.
Strong knowledge and experience with software modelling and diagraming
Strong working experience with Azure DevOps/Git including source control, build and task management
Creativity, capacity and a conviction to innovate and deliver best-in-class solutions
Strong collaboration skills, including:
Ability and willingness to take the initiative to facilitate teamwork across roles, functional groups and remote offices
Responsive attitude and client first mentality
Strong experience with code reviews, source control and release management
Eagerness and aptitude to learn new technologies, creative, open-minded and a great team player
Ability to instrument, profile, debug, and optimize server and client code to resolve complex issues with distributed systems
Adept at task switching to handle varying workload, while meeting tight deadlines",Lead Software Engineer,Kochi,3.8,$25 to $50 million (USD),INR 20K - INR 59K,Business Services,201 to 500 Employees,Company - Private
"Morgan Stanley
3.8",-1,1935,-1,Investment Banking & Asset Management,"About Us

Morgan Stanley is a leading global financial services firm providing a wide range of investment banking, securities, investment management and wealth management services. We advise, originate, trade, manage and distribute capital for governments, institutions and individuals. As a market leader, the talent and passion of our people is critical to our success. Together, we share a common set of values rooted in integrity, excellence and strong team ethic. We provide you a superior foundation for building a professional career where you can learn, achieve and grow.

Technology/Role/Department at Morgan Stanley

Technology is the key differentiator that ensures that we manage our global businesses and serve clients on a market leading platform that is resilient, safe, efficient, smart, fast and flexible. Technology redefines how we do business in global, complex and dynamic financial markets. We have a large number of award winning technology platforms that help to propel our Firm’s businesses to be the top in the market. Our India technology teams are based in Mumbai and Bengaluru. We have built strong techno-functional teams which partner with our offices globally taking global ownership of systems and products. We have a vibrant and diverse mix of technologists working on different technologies and functional domains. There is a large focus on innovation, inclusion, giving back to the community and sharing knowledge.

Department profile

Wealth Management Technology (WMIMT) is responsible for the design, development, delivery, and support of the technical platform behind the products and services used by the Business. Morgan Stanley Wealth Management (WM) is a product of the acquisition of Smith Barney from Citigroup, which was completed in June ‘13. Its core client base is individual investors, small- to medium-size businesses and institutions, and high net worth families and individuals. In the second half of ‘14, WM reached a milestone, with its business having surpassed $2 trillion in total client assets.

Position Overview

We are seeking a Machine Learning Engineer with expertise in design and development of data and ML centric applications at scale. The right candidate would have a background in data engineering and requisite familiarity and experience working with Machine learning (ML) algorithms and Frameworks. The role is a confluence of engineering (programming), ML and data analysis. Knowledge of Data Science is a plus. This position is for the Risk Analytics team which is part of Artificial Intelligence and Knowledge Management group within Morgan Stanley Wealth Management. The team is comprised of members located in NY-United States, Mumbai-India and Bengaluru-India. The team partners with various businesses and IT groups within firm to develop analytics and ML powered solutions aimed at Portfolio risk assessment, business activity monitoring and high volume application activity log analytics.
The team accumulates data from a variety of internal and external upstream systems in order to develop statistics, models, dashboards and metrics for the Technology Risk team.

The right candidate has (Responsibilities)
Create ML model training, validation and hyper-parameter search pipelines
Explore new data sources and data. Select appropriate datasets and their representation methods. Perform data analysis (statistical and otherwise), to derive inferences from data
Design machine learning systems, and oversee the platform on which the solutions would be deployed
Ensure data integrity through – Data quality, validation, Governance and Transparency
Design and Build distributed, scalable, and reliable data pipelines that ingest and process data at scale and in real-time
Production deployment and Model monitoring to ensure stable performance and adherence to standards
Evaluate state-of-art data-centric technologies and prototype solutions to improve our architecture and platform
Understand data visualization to create meaningful dashboards for end-users

Skill Set:
Primary skills
· Experienced professional with 4-8 years of experience developing and implementing ML models in Big data ecosystem i.e. Hadoop, Spark, Kafka, HBase, Hive / Impala, Cassandra, MongoDB or any other similar distributed computing technology
· Proficiency with Scala / Python and basic libraries for machine learning such as scikit-learn, pandas, deep-learning
· Proficiency in data analysis using complex and optimized SQL and / or above mentioned technologies
· Understanding of data structures, data modeling and software architecture
· Experience in architecture, design and implementation of data intensive applications for practical use-cases
· Expertise in visualizing large datasets in an efficient manner
· Ability to work in fast paced and dynamic environment
Good written and verbal communication skills
Good to have skills
· In-depth understanding of Machine Learning and Statistics, in addition to above
· Experience in domains – Financial Risk and Log Analytics
· Worked on large scale Anomaly Detection use cases
· Practical knowledge of Natural Language Processing (NLP) and/or Neural network implementation
· Tableau for data visualization
· Experience working in an Agile environment",Machine Learning Engineer,Bengaluru,3.8,$10+ billion (USD),"INR  18,67,501",Finance,10000+ Employees,Company - Public
"Phenom People
4.3",-1,2011,-1,Computer Hardware & Software,"JOB DESCRIPTION

Job Requirements
Design and implement machine learning, information extraction, probabilistic matching algorithms and models
Research and develop innovative, scalable and dynamic solutions to hard problems
Work closely with Machine Learning Scientists (PhDs), ML engineers, data scientists and data engineers to address challenges head on
Use the latest advances in NLP, data science and machine leaning to enhance our products and create new experiences
Scale machine learning algorithm that powers our platform to support our growing customer base and increasing data volume
Be a valued contributor in shaping the future of our products and services
You will be part of our Data Science & Algorithms team and collaborate product management and other team members
Be part of a fast pace, fun focused, agile team
Work Experience
3+ years of industry experience
PhD/MS/BTech in computer science, information systems, or similar technical field
Strong mathematics, statistics, and data analytics
Solid coding and engineering skills preferably in Machine Learning (not mandatory)
Proficient in Java, Python, and Scala
Industry experience building and productionizing end-to-end systems
Knowledge of Information Extraction, NLP algorithms coupled with Deep Learning
Experience with data processing and storage frameworks like Hadoop, Spark, Kafka etc.",Machine Learning Engineer,Hyderabad,4.3,Unknown / Non-Applicable,"INR  9,50,000",Information Technology,501 to 1000 Employees,Company - Private
"CloudSEK Info Security Pvt. Ltd
4.7",-1,2015,-1,Enterprise Software & Network Solutions,"Position title
Deep Learning Engineer / AI Engineer
Description
In this position, you will be responsible for developing and optimizing Machine Learning models for Cloud-AI. In addition, responsibilities working as a part of CloudSEK’s Data Science team that is researching and prototyping cutting edge ML/DL techniques to build the world’s best cloud risk assessment platform. This includes fast prototyping of DL models with high-level libraries like Keras and robust implementation, taking full advantage of leading frameworks.
Skills
Must-have skills
Fundamental understanding of mathematical techniques involved in ML and DL schemas (Instance-based methods, Boosting methods, PGM, Neural Networks etc.).
Thorough understanding of state-of-the-art DL concepts (Sequence modelling, Attention, Convolution etc.) along with knack to imagine new schemas that work for the given data.
NLP expertise, especially in Language modelling, at-least experience in using pre-trained language models (Transformer /GPT /BERT).
Great programming skills with expertise in Python development standards.
Fluency in Python package ecosystem especially ML/ DL packages like TensorFlow, PyTorch etc.
Functional expertise in DL modelling practices specific to data at hand (Size of model, training procedures, hand-designed layers etc.).
Familiarity with code production standards and version control systems.
Good-to-have skills
Basic understanding of the cybersecurity domain.
Vivid interest in data accumulation (Data hunter) and automated data gathering expertise.
Basic hands-on experience in at least one database search engine and NoSQL document storage (Elasticsearch, MongoDB etc.).
Job Benefits
A competitive salary.
Health Insurance.
An awesome team that will challenge and respect you.
Lunch, Unlimited snacks and drinks.
Top-notch office in the heart of Bangalore City.
Let's talk, apply with your resume


To apply you can also email at work@cloudsek.com with your resume.",Deep Learning Engineer / AI Engineer,Bengaluru,4.7,Unknown / Non-Applicable,"INR  32,500/mo",Information Technology,1 to 50 Employees,Company - Private
"Involvio, LLC
3.9",-1,-1,-1,Colleges & Universities,"We are looking for a Machine Learning (ML) Engineer to help us create artificial intelligence products. Machine Learning Engineer responsibilities include creating machine learning models and retraining systems. To do this job successfully, you need exceptional skills in statistics and programming. If you also have knowledge of data science and software engineering, we'd like to meet you. Your ultimate goal will be to shape and build efficient self-learning applications.

Responsibilities:
Designing and developing machine learning and deep learning systems.
Running machine learning tests and experiments.
Implementing appropriate ML algorithms.
Study and transform data science prototypes.
Design machine learning systems.
Research and implement appropriate ML algorithms and tools.
Develop machine learning applications according to requirements.
Select appropriate datasets and data representation methods.
Run machine learning tests and experiments.
Perform statistical analysis and fine-tuning using test results.
Train and retrain systems when necessary.
Extend existing ML libraries and frameworks.
Keep abreast of developments in the field.

Requirements:
Proven experience as a Machine Learning Engineer or similar role.
Understanding of data structures, data modeling and software architecture.
Deep knowledge of math, probability, statistics and algorithms.
Ability to write robust code in Python, Java and R.
Familiarity with machine learning frameworks (like Keras or PyTorch) and libraries (like scikit-learn).
Excellent communication skills.
Ability to work in a team.
Outstanding analytical and problem-solving skills.
BSc in Computer Science, Mathematics or similar field; Master's degree is a plus.",Machine Learning Engineer,Bengaluru,3.9,Unknown / Non-Applicable,"INR 1,992K - INR 2,147K",Education,1 to 50 Employees,Company - Private
"NVIDIA Corporation
4.5",-1,1993,-1,Computer Hardware & Software,"NVIDIA is looking for a passionate, world-class computer scientist to work in its Compute Developer Technology (Devtech) team.

What you will be doing:
Study and develop cutting-edge techniques in deep learning, graphs, machine learning, and data analytics, and perform in-depth analysis and optimization to ensure the best possible performance on current- and next-generation GPU architectures.
Work directly with key customers to understand the current and future problems they are solving and provide the best AI solutions using GPUs.
Collaborate closely with the architecture, research, libraries, tools, and system software teams at NVIDIA to influence the design of next-generation architectures, software platforms, and programming models.
You will need to travel from time to time for conferences and for on-site visits with developers.
What we need to see:
BS, MS, or PhD university degree in an engineering or computer science related discipline (MS or PhD preferred).
Strong knowledge of C/C++, software design, programming techniques, and AI algorithms.
Experience with parallel programming, ideally CUDA C/C++.
Strong communication and organization skills, with a logical approach to problem solving, good time management, and task prioritization skills.
Artificial intelligence, the dream of computer scientists for over half a century, is no longer science fiction. And in the next few years, it will transform every industry. Soon, self-driving cars will reduce congestion and improve road safety. AI travel agents will know your preferences and arrange every detail of your family vacation. And medical instruments will read and understand patient DNA to detect and treat early signs of cancer. Where engines made us stronger and powered the first industrial revolution, AI will make us smarter and power the next. What will make this intelligent industrial revolution possible? A new computing model — GPU deep learning — that enables computers to learn from data and write software that is too complex for people to code.

NVIDIA is widely considered to be one of the technology world’s most desirable employers. We have some of the most brilliant and talented people in the world working for us. Are you a creative and autonomous computer scientist with a genuine passion for parallel computing? Do you love a challenge? If so, we want to hear from you. Come, join our AI Compute DevTech team and help build the real-time, cost-effective computing platform driving our success in this exciting and quickly growing field.

NVIDIA is committed to fostering a diverse work environment and proud to be an equal opportunity employer. As we highly value diversity in our current and future employees, we do not discriminate (including in our hiring and promotion practices) on the basis of race, religion, color, national origin, gender, gender expression , sexual orientation, age, marital status, veteran status, disability status or any other characteristic protected by law.",Developer Technology Engineer - AI,Pune,4.5,$5 to $10 billion (USD),"INR  15,03,414",Information Technology,10000+ Employees,Company - Public
"Gainsight
4.2",-1,2009,-1,Computer Hardware & Software,"Gainsight™ is a venture-backed, fast-growing tech company revolutionizing Customer Success for businesses. The Customer Success company helps businesses grow faster by reducing churn, increasing upsell, and driving customer advocacy. Gainsight provides a complete, end-to-end Customer Success solution through its services and technology. The industry-leading platform helps companies manage customer relationships effectively, track customer health, and transform the way organizations orient around the customer. Gainsight is the platform of choice for many leading companies like Box, Adobe, and Workday. The company has been recognized as one of the top 100 private cloud companies in the world by Forbes, one of the fastest-growing private companies in America by Inc. Magazine, and as one of 20 Great Workplaces in Tech by Fortune Magazine. Gainsight's CEO, Nick Mehta, has been recognized as one of the Top SaaS CEOs in America. The company has offices in California, Phoenix, St. Louis, London, and India.

About The Job Role

Gainsight is building a world-class team of Engineers with a mandate to architect, design, build, scale, and maintain our cutting-edge customer intelligence repository and to apply 'predictive analytics' techniques to mine the data and discover data patterns & drive insights. If you are a great JavaScript developer (or for that matter in any major programming languages) with experience in building SaaS web applications and looking for an opportunity in building world-class products using cutting edge technologies, please read on -

What You'll Do
Build software applications by following coding standards, integration tests, and deployment scripts
Assist in defining software architectures – collaborate with leads to explore existing systems, ascertain areas of complexity, potential risks to successful implementation, learn the application capabilities
Translate designs and style guides provided by the UI/UX team into functional user interfaces, ensuring cross-browser compatibility and performance
Develop internal tools/utilities that are robust and impactful
Mentoring and reviewing the work done by junior engineers
What We're Looking For
Good interpersonal and communication skills. An analytical mind and an eye for detail
4+ years of experience in a Web environment, developing front-end - UI
Expert in design patterns and hands-on experience in using IFRAME, web components, TypeScript, Webpack and CORS
A candidate skilled in highly dynamic web interface development (HTML, CSS, JavaScript)
Having hands-on experience in front-end programming with various JavaScript frameworks like Angular, Backbone, etc...
A master in API cache and web performance improvements
Passionate programmer focused on UI with the ability to organize and manage multiple priorities
Why You'll Love It Here
Our Attitude: We've created a new industry from scratch, and we're on the fast track!
Our Leadership: We offer the leading tech solution for driving Customer Success.
Our ROI: Reduce customer churn, increase up-sell, and improve customer satisfaction.
Our Technology: Deep Salesforce.com hooks, predictive analytics, and a beautiful user interface.
Our Impact: We help our customers make millions of dollars more per year.
Our Clients: Big companies like Box, Adobe, Marketo, and many others.
Our Team: Tech all-stars from Facebook, Box, and others (and top consulting firms like BCG and McKinsey!).
Our Values: They are unique - Golden Rule, Success for All, Childlike Joy, Shoshin, and Stay Thirsty, My Friends
Our Office: If you showed up one day, you might find anything from karaoke performances to mini-golf championships.
Here are our 5 core values:
Golden Rule: We believe in trusting each other, and our community by exercising reliability.
Success for All: We believe that success for our stakeholders comes with making a difference in each other's lives.
Child-like Joy: We aspire to experience passion, optimism, and laughter in everything we do.
Shoshin: We believe in a beginner's mind, and that learning comes from everywhere.
Stay Thirsty, My Friends: We believe in an internally-driven strive for greatness.
Individuals seeking employment at Gainsight are considered without regard to race, color, religion, national origin, age, sex, marital status, ancestry, physical or mental disability, veteran status, gender identity, or sexual orientation.",Senior Software Engineer - UI,Hyderabad,4.2,Unknown / Non-Applicable,"INR  22,26,465",Information Technology,501 to 1000 Employees,Company - Private
"Nagarro Inc.
3.8",-1,1996,-1,IT Services,"Associate
Staff Engineer (Mobile-Hybrid)

4.6–
6 years of experience
ABOUT NAGARRO:

Established in
1996, Nagarro began as a dream of a few friends who wanted to create a company
with a difference – a company that focused on “strategic differentiation via
technology” initiatives rather than routine IT operations. Today we are more
than 6500 experts across more than 20 countries. Together we form the global
services division of Munich-based Allgeier SE.

At Nagarro, you can look forward to a work culture that is dynamic and
non-hierarchical. You will be given opportunities to add value to challenging
and complex assignments, while collaborating with world class technologists.
The versatile environment here, helps foster fresh perspectives and enables you
to deliver high quality code. There will be ample opportunities provided for
skill upgradation to accelerate your professional and personal development.

WHAT MAKES YOU A GOOD FIT FOR THIS
ROLE:
Extensive experience in developing/adapting
native plugins for both iOS and Android
Experience in developing
mobile apps using Ionic framework / Cordova / PhoneGap
Good Experience in Angular
2, JavaScript, Object Oriented Programming System (OOPS) and firebase
Integrate different REST
APIs to implement application functionalities
Awareness of enterprise
mobile applications and data protection policies and methods would be a plus
Knowledge of high-quality
professional software engineering practices for agile software development
cycle, including coding standards, code reviews, source control management,
build processes, testing, and deployment
Fundamental knowledge of
design patterns
Experience in
communicating effectively with users, other technical teams, and management to
collect requirements, describe software product features, and technical designs
Passionate about building
great solutions
Being able to understand and relate technology integration scenarios
and be able to apply these learnings in complex troubleshooting scenarios
WHAT ARE YOUR RESPONSIBILITIES:

Analyzing the project’s requirements and the
ability to convert said requirements into technical documents, design and code
Implementing design
methodologies and tool sets
Writing well-designed,
defect free code which scales well and follows all best practices and
guidelines
Executing the development
of software with a strong focus on the security, performance, and robustness.
Conducting deep level
analysis to identify root cause to systematically resolve issues
Following all defined
software configuration management best practices
Reviewing code to
identify issues as well as deviations from best practices
Addressing issues
promptly, responding positively to setbacks and challenges with a mindset of
continuous improvement",Associate Staff Engineer (Mobile-Hybrid),Noida,3.8,$100 to $500 million (USD),"INR  9,16,059",Information Technology,5001 to 10000 Employees,Company - Private
