Company Name,Competitors,Founded,Headquarters,Industry,Job Description,Job Title,Location,Rating,Revenue,Salary Estimate,Sector,Size,Type of ownership
"Blue Jeans Network, Inc.
3.0",-1,2009,-1,Enterprise Software & Network Solutions,"If you are a data junkie who would like to wrangle through huge data sets of usage, stats, clickstreams, free text feedbacks and more to predict the user experience, adoption and retention. You like to solve complex and challenging problems and articulate the results in a lucid manner. Then we’ve got the problem for you and the data to solve it.

In your role as data scientist you will :
Select features, building and optimizing classifiers using machine learning techniques
Build statistical/machine learning models to extract insights
Create automated anomaly detection systems and constant tracking of its performance
Collaborate with subject matter experts to determine relevant data sources
Communicate the insights/recommendations to a wide spectrum of stake holder
Act as a mentor to guide/train less experienced folks
Desired Skills and experience:
B.E/Masters in Computer science/Statistics or equivalent
At least 5 years of experience in predictive modelling, strong knowledge of machine learning algorithms.
Strong in R,Python (numpy, scipy etc)
Very strong SQL and data visualization
Exposure to Big Data platforms such as Spark, Mahout, Scala, AWS machine learning is a plus
Great communications skills
Verizon recently acquired BlueJeans and plans to integrate BlueJeans employees into Verizon, including its compensation and benefits programs, in due course. This position will be part of that planned integration.",Data Scientist,Bengaluru,3.0,Unknown / Non-Applicable,"INR  25,20,522",Information Technology,201 to 500 Employees,Company - Private
"Phenom People
4.3",-1,2011,-1,Computer Hardware & Software,"JOB DESCRIPTION

Job Requirements
Design and implement machine learning, information extraction, probabilistic matching algorithms and models
Research and develop innovative, scalable and dynamic solutions to hard problems
Work closely with Machine Learning Scientists (PhDs), ML engineers, data scientists and data engineers to address challenges head on
Use the latest advances in NLP, data science and machine leaning to enhance our products and create new experiences
Scale machine learning algorithm that powers our platform to support our growing customer base and increasing data volume
Be a valued contributor in shaping the future of our products and services
You will be part of our Data Science & Algorithms team and collaborate product management and other team members
Be part of a fast pace, fun focused, agile team
Work Experience
3+ years of industry experience
PhD/MS/BTech in computer science, information systems, or similar technical field
Strong mathematics, statistics, and data analytics
Solid coding and engineering skills preferably in Machine Learning (not mandatory)
Proficient in Java, Python, and Scala
Industry experience building and productionizing end-to-end systems
Knowledge of Information Extraction, NLP algorithms coupled with Deep Learning
Experience with data processing and storage frameworks like Hadoop, Spark, Kafka etc.",Machine Learning Engineer,Hyderabad,4.3,Unknown / Non-Applicable,"INR  9,50,000",Information Technology,501 to 1000 Employees,Company - Private
"Saavn
4.4",-1,2007,-1,Music Production & Distribution,"JOB TITLE: SOFTWARE ENGINEER - MACHINE LEARNING

LOCATION: MUMBAI, INDIA

OUR STORY:

JioSaavn is South Asias leading music streaming service. We are over 200 entrepreneurs, across New York, California, Mumbai, Gurgaon, and Bangalore, who help music lovers access, discover, and listen to their favorite songs across languages and genres. In early 2018, a merger between JioMusic and Saavn was announced; creating a combined entity valued at over $1 billion.

We blend digital technology, data analysis (which we have affectionately coined Music Science), and a strong, fearless business acumen to reach all corners of the globe. Through partnerships with Apple, Google, Amazon, Facebook, Twitter and Shazam - to name a few - JioSaavn reaches more music fans across the world. Our award-winning mobile products, partnerships, innovations and thought leadership have been featured in some of the worlds leading publications, from The New York Times, to The Wall Street Journal, The Economic Times to Forbes, and many more. We are well-funded by some of the worlds most successful institutional investors and global media companies as well as a number of strategic individuals. Beyond investing, they are advisors and supporters of our vision, our passion, and our collective ability to deliver a revolutionary music experience as the leader in India.

OUR CULTURE:

At JioSaavn, we ignite passion and performance to work towards a collective goal: creating the perfect mobile entertainment ecosystem that delivers the best possible music experience to millions of listeners around the world. Our default mode is that of perpetual innovation. Together, we form a concerted rhythm that goes beyond borders. We don't just go with the flow, we create it.

JioSaavn offers a dynamic and unconventional work environment, full of fun wholesome experiences from in-office performances by some of the worlds most beloved musicians to opportunities for international travel. We believe creativity and technology blend together like sweet melodies. When you choose JioSaavn, you join a diverse world of high-calibre techies, artists, and inventors hailing from companies like Yahoo!, Twitter, LinkedIn, Google, Qualcomm, HBO, Microsoft, Flipkart, Amazon, Paytm, Quikr, MSN, and NDTV. We are one of the few digital companies to provide employment opportunities that meet the Silicon Valley benchmark right here in Mumbai! Figures, since weve got Silicon Valley covered, too.

Our value-based, people-first work culture is about empowering every individual in our global team to be catalysts for change in this dynamic digital world. Every day is an opportunity to bring your vision to life, and to expand, learn and grow. No idea is left unconsidered. No voice is left unheard.

With listeners speaking multiple languages in almost every country in the world, we like to think we have the most diverse user base on the planet. This has only been made possible because of the value we place on radical inclusivity in our offices across the globe. We believe different is wonderful, and what sets us apart is also what brings us closer. JioSaavn prides itself on being an equal opportunity employer. We have committed ourselves to creating a safe environment with fair and equal access and opportunities, sans discrimination. We encourage everyone to be open to experiences and perspectives beyond their normal; divergent thinkers create differentiated products, and even better music.

If our vibe matches with yours, we'd love to hear from you.

ROLE:

Software Engineer should have good hands on experience in Machine Learning, that helps in increasing the speed and performance of the product.

RESPONSIBILITIES:
Work in JioSaavn AI team on projects ranging from content recommendation, ranking, app personalization , search relevancy, personalized radio and real time recommendations .
Build real time and batch pipelines for feature extraction for various ML models.
Scale the machine learning infrastructure for speed and performance.
Implement and deploy ML models in various frameworks like Tensorflow, LightGBM, PyTorch , Scikit etc.
REQUIREMENTS:
Strong understanding of algorithms, data structures and basic machine learning concepts.
At least 2 year of experience in data engineering or machine learning roles.
Prior experience of frameworks like Mapreduce, Apache Spark, XGBoost, and Scikit is a plus.
Strong coding skills with ability to write high performance code in Java/Python/C++/Scala etc.
BENEFITS AND PERKS:

At JioSaavn, we blur work and play, and you get all the perks of a global company. You will get to work with a dynamic group of entrepreneurs, who are delivering results and working zealously across time zones to make a difference in the way the world experiences music. We love what we do, and we think you will too.
Group Mediclaim
Fun Fridays
Flexible vacation policies
Free healthy (and unhealthy) lunches & snacks
JioSaavn-sponsored team outings
Powered by JazzHR",Software Engineer - Machine Learning,Mumbai,4.4,Unknown / Non-Applicable,"INR  16,83,596",Media,201 to 500 Employees,Company - Private
"Amazon.com, Inc.
4.3",-1,1994,-1,Internet,"Our mission is to prevent denied parties from transacting with Amazon businesses. We build automatic mechanisms to detect and prevent prohibited transactions with the denied parties using a diverse set of algorithms and machine learning techniques. We screen over a half a billion events every day, integrate with Tier 1 systems and deal with unique scaling and TPS challenges. We are still day 1 and have an exciting road map to build ML powered detection and resolution framework to help scale Amazon for years to come.

We are looking for an outstanding software engineer who has the passion for working on challenging problems from the very early stages. Together with a multi-disciplinary team of engineers, ML scientists, and subject domain experts, you will help define our customer experience and protect Amazon brand. If you have an entrepreneurial spirit, know how to deliver, are technical and innovative, and looking for an opportunity to build ML systems and solutions, we want to talk to you.
We are looking for candidates who thrive in a fast-paced environment and want to invent the future.



Basic Qualifications

· 2+ years of non-internship professional software development experience
· Programming experience with at least one modern language such as Java, C++, or C# including object-oriented design
· 1+ years of experience contributing to the architecture and design (architecture, design patterns, reliability and scaling) of new and current systems.
· Bachelor's degree in Computer Science, Software Engineering, or a related technical discipline
· 3+ years full-time experience in software design and development
· Experience with at least one Object Oriented language (e.g. Java, Python)
· Experience with building high-performance, highly-available and scalable distributed systems

Preferred Qualifications

· Exposure to developing full stack applications
· Exposure to Machine Learning/deep learning projects
· Experience with various AWS technologies

Amazon is an Equal Opportunity-Affirmative Action Employer - Female/Minority/Disability/Veteran/Gender Identity/Sexual Orientation","Software Engineer, Machine Learning Systems",Bengaluru,4.3,$10+ billion (USD),"INR  14,39,361",Information Technology,10000+ Employees,Company - Public
"Qualcomm Incorporated
4.0",-1,1985,-1,Computer Hardware & Software,"Company:
Qualcomm India Private Limited
Job Area:
Engineering Group, Engineering Group > Software Engineering
Job Overview:


Qualcomm is a company of inventors that unlocked 5G ushering in an age of rapid acceleration in connectivity and new possibilities that will transform industries, create jobs, and enrich lives. But this is just the beginning. It takes inventive minds with diverse skills, backgrounds, and cultures to transform 5Gs potential into world-changing technologies and products. This is the Invention Age - and this is where you come in.

- Qualcomm is a company of inventors that unlocked 5G - ushering in an age of rapid acceleration in connectivity and new possibilities that will transform industries, create jobs, and enrich lives. But this is just the beginning. It takes inventive minds with diverse skills, backgrounds, and cultures to transform 5G’s potential into world-changing technologies and products. This is the Invention Age - and this is where you come in. Qualcomm is utilizing its traditional strengths in digital wireless technologies to play a central role in the evolution of automotive infotainment and autonomous driving. We are investing in several supporting technologies including 4G, 5G, ADAS, and Deep Learning.
The Qualcomm CR&D team is developing hardware and software solutions for the Qualcomm ADAS system. We are seeking ambitious, bright and innovative engineers with experience in software system design, autonomy, device functional safety concepts and implementations.
Job activities span the whole product life cycle from early R&D to commercial deployment. The environment is fast-paced and requires cross-functional interaction on a daily basis so good communication, planning and execution skills are a must.
We are looking to staff engineers at multiple levels in systems & software, integration and test. Details of one of the roles we are looking to staff are listed below.
Specific Responsibilities
Research, design, develop, enhance, and implement the different components of machine learning compiler based on performance and code-size needs of the customer workloads and benchmarks.
Analyze software requirements, determine the feasibility of design within the given constraints, consult with architecture and HW engineers, and implement software solutions best suited for Qualcomm's SOCs.
Analyze and identify system level integration issues, interface with the software development, integration and test teams.
Desired Skills and Aptitudes
LLVM or any industrial strength compiler development experience is a plus.
Knowledge of the structure and function of the compiler internals.
Hands on experience writing SIMD and/or multi-threaded high-performance code
Hands-on experience implementing DSP Kernels a plus
Hands-on Experience in C/C++, Python development (3+ years)
Hands-on Experience with Object Orientated Design, TDD development solutions such as GoogleTest etc. (2+ years)
Experience with Source Code and Configuration management tools, git knowledge is required
Willingness to work in a cohesive software development environment with ability to work on low level implementation (code & test) and interfacing with hardware and simulators
Experience in machine learning frameworks and neural network architectures + ML compiler workload synthesis, a plus
Prior working experience of hardware accelerators and hardware software co-design
Experience in using C++ 14/17 (advanced features)
Experience at both the firmware (RTOS) and system level (Linux) in SOC
Experience of profiling software and optimization techniques
Passion to drive to develop leading-edge \""deep learning\"" framework and algorithms working on mobile and embedded platforms.
Minimum Qualifications
Bachelor's degree in Engineering, Information Systems, Computer Science, or related field.
2+ years of academic or professional experience with compiler development required
3+ years Software Engineering or related work experience.
3+ years experience with Programming Language such as C/C++ and Python

Applicants: If you need an accommodation, during the application/hiring process, you may request an accommodation by sending email to accommodationsupport

To all Staffing and Recruiting Agencies: Our Careers Site is only for individuals seeking a job at Qualcomm. Staffing and recruiting agencies and individuals being represented by an agency are not authorized to use this site or to submit profiles, applications or resumes, and any such submissions will be considered unsolicited. Qualcomm does not accept unsolicited resumes or applications from agencies. Please do not forward resumes to our jobs alias, Qualcomm employees or any other company location. Qualcomm is not responsible for any fees related to unsolicited resumes/applications.",Machine Learning Compiler Engineer,Bengaluru,4.0,$10+ billion (USD),"INR  12,92,883",Information Technology,10000+ Employees,Company - Public
"Hitachi Vantara Corporation
2.7",-1,1989,-1,IT Services,"The Company

Hitachi Vantara, a wholly-owned subsidiary of Hitachi, Ltd., guides our customers from what’s now to what’s next by solving their digital challenges. Working alongside each customer, we apply our unmatched industrial and digital capabilities to their data and applications to benefit both business and society. More than 80% of the Fortune 100 trust Hitachi Vantara to help them develop new revenue streams, unlock competitive advantages, lower costs, enhance customer experiences, and deliver social and environmental value.

The Role

We are seeking Machine Learning Engineer

Responsibilities
Perform machine learning, text analytics, and statistical analysis methods, such as classification, collaborative filtering, association rules, sentiment analysis, topic modeling, time-series analysis, regression, statistical inference, and validation methods.
Selecting features, building and optimizing classifiers using machine learning techniques.
Implement algorithms and software needed to perform analyses.
Communicate results and educate others through reports and presentations. Skills Required â€¢ Expertise in Data Mining, Data wrangling, and data munging using one or more of the most commonly used data science tools: R, Python, SAS, SPSS, Weka â€¢ Experience in end-to-end data science and engineering activities.
Qualifications
BE / B Tech / ME / M Tech
We are an equal opportunity employer. All applicants will be considered for employment without attention to age, race, color, religion, sex, sexual orientation, gender identity, national origin, veteran or disability status.",Machine Learning Engineer,Hyderabad,2.7,Unknown / Non-Applicable,"INR  15,00,000",Information Technology,5001 to 10000 Employees,Subsidiary or Business Segment
"Autodesk, Inc.
3.9",-1,1982,-1,Computer Hardware & Software,"Job Requisition ID #
20WD40887
Job Title
Machine Learning Engineer/Data Scientist
Job Description

Autodesk is seeking a Machine Learning Engineer/Data Scientist to join our Sales Data Science team. We build innovative data products and machine learning solutions for Autodesk's sales teams. In this critical role, you will work alongside product development, product managers, and data engineers to tackle fundamental data science models in our Asia-Pacific (APAC) sales region.

Data, automation and advanced analytics technologies are drastically transforming our sales team in APAC and this person will be the data scientist in charge of overseeing our data science practice in Singapore, India, China, Korea, Australia, and New Zealand. As the Data Scientist for APAC, your primary responsibility will be to empower our sales teams with machine learning models and data analytics to make them more productive and better equipped to be customer-centric. You will collaborate with our Data Scientists in Barcelona and the US to build major data science products.

The ideal candidate is a strong communicator and has experience as a Data Analyst or Data Engineer who has strong Data Science leanings, and has built out multiple analytic models and machine learning algorithms before.

You will be in charge of establishing and maintaining machine learning deployment pipelines, including their associated life-cycle management systems and practices, in coordination with their architecture peers and communities of practice throughout the company

Your responsibilities will be:
Designing and implementing Machine Learning models and algorithms that enable account selection, customer targeting, and process improvements for the sales teams in APAC.
Develop and maintain model deployment pipelines for many types of machine learning including supervised and unsupervised learning as well as CNNs, RNNs or other deep learning algorithms
Working closely with data scientists, domain experts and sales team, both to understand model performance management requirements and design suitable inferencing instrumentation systems and practices that meet them
Designing and implementing outbound data engineering pipelines that serve curated datasets to business intelligence and reporting
Designing integration solutions including applications as needed to deliver inferencing outcomes or curated data sets for consumption and action
Ensuring your model deployment, outbound data engineering and integration pipelines are architecturally and operationally integrated with inbound ingestion and contextualization pipelines designed by your peer domain architects
Delivering and presenting results to sales leaders regarding their business, forecast, pipeline, and potential customers.
Education & Experience:

- Very strong communicator
Advanced degrees in computer science and data science strongly preferred, though an equivalent level engineering, data science or mathematics degree, a technical undergraduate degree and relevant experience will also be considered
5+ plus years of relevant work experience
3+ years of experience working with data scientists in a data engineering or production machine learning inferencing capacity, working with various types of supervised and unsupervised learning algorithms for classification, recommendation, anomaly detection, clustering and segmentation, as well as CNNs, RNNs or other deep learning algorithms
5+ years of full-stack experience developing large scale distributed systems and multi-tier applications
5+ years of programming proficiency in, at least, one modern JVM language (e.g. Java, Kotlin, Scala) and at least one other high-level programming language such as Python
2+ years of production DevOps experience
3+ years of programming on the Apache Spark platform, leveraging both low level RDD and MLlib APIs and the higher-level APIs (SparkContext, DataFrames, DataSets, GraphFrames, SparkSQL, SparkML).
Demonstrated deep understanding of Spark core architecture including physical plans, DAGs, UDFs, job management and resource management
At least 1 year of implementation experience with Apache Airflow, and a demonstrated expert level understanding of both segmented and unsegmented Directed Acyclic Graphs and their operationalization
Experience working with Neo4J and a demonstrated ability to lead architecture efforts for its implementation
Strong technical collaboration and communication skills
Additional Qualifications:
Passion for sales and customer segmentation
Proficiency with functional programming methods and their appropriate use in distributed systems
Proficiency with AWS foundational compute services, including S3 and EC2, ECS and EKS, IAM and CloudWatch
Proficiency with Sagemaker, Kubernetes, and Docker
Preferred Qualifications
Experience with data science toolkits like: R, Pandas, Jupyter, scikit, TensorFlow, etc.
Experience with Sagemaker and data pipelines in AWS
Familiarity with statistics concepts and analysis, e.g. hypothesis testing, regression, etc.
Experience building dashboards in platform: Power BI, Tableau, Qlik, Looker, etc.
Salesforce experience is a plus

At Autodesk, we're building a diverse workplace and an inclusive culture to give more people the chance to imagine, design, and make a better world. Autodesk is proud to be an equal opportunity employer and considers all qualified applicants for employment without regard to race, color, religion, age, sex, sexual orientation, gender, gender identity, national origin, disability, veteran status or any other legally protected characteristic. We also consider for employment all qualified applicants regardless of criminal histories, consistent with applicable law.

Are you an existing contractor or consultant with Autodesk? Please search for open jobs and apply internally (not on this external site). If you have any questions or require support, contact Autodesk Careers.",Machine Learning Engineer/Data Scientist,Bengaluru,3.9,$2 to $5 billion (USD),"INR  16,93,561",Information Technology,5001 to 10000 Employees,Company - Public
"Hewlett Packard Enterprise
4.2",-1,2015,-1,Enterprise Software & Network Solutions,"Hewlett Packard Enterprise is an industry leading Technology Company that enables customers to go further, faster. With the industrys most comprehensive portfolio, spanning the cloud to the data center to workplace applications, our technology and services help customers around the world make IT more efficient, more productive and more secure.

Learning does not only happen through training. Relationships are among the most powerful ways for people to learn and grow, and this is part of our HPE culture. In addition to working alongside talented colleagues, you will have many opportunities to learn through coaching and stretch assignment opportunities. Youll be guided by feedback and support to accelerate your learning and maximize your knowledge. We also have a reverse mentoring program which allows us to share our knowledge and strengths across our multi-generation workforce.

HPE Pointnext is the innovative IT services organizationpart of Hewlett Packard Enterprisebuilt to make Hybrid IT simple and power the Intelligent Edge. As an agile technology partner, we help our customers modernize their legacy infrastructure with the flexibility of the cloud, and maximize the value of their connected devices. We make their mission our mission: To drive rapid transformation across an enterprise on a customers terms.

Description:
Has business experience and customer - facing skills that enables them to drive an engagement and interact at the CxO / VP level, as well as a technical background that enables them to easily interact with IT professionals, software developers and architects
Adept at thinking strategically and analytically about business, product, and technical challenges, with the ability to build and convey compelling value propositions, and work across multiple functional teams to build consensus
A keen sense of ownership, drive, and scrappiness is a must
You must enjoy communicating with customers of all shapes and s. You will have a passion for helping customers, from hot start - ups to established enterprises in India
A broad and strong leader part builder, part operator and part general manager who can prioritize well, communicate clearly and compellingly and who understands how to drive a high level of focus.
Responsibilities
Define and target market segments in India, identify key entities within those segments, and identify key industry partners including ISVs and system integrators
Set a strategic business development plans for the AI business and for target markets in India. Execute the strategic business development plans while working closely with internal stakeholders including account, marketing, & partner teams, solution architects, professional services and support teams, legal and contract teams, and the service teams.
Thought leadership develop compelling audience - specific messages and tools (product videos, customer success stories, demos, whitepapers, presentations, how to guides etc.) and evangelize cloud services and technologies through forums, whitepapers, reference architectures and public speaking events such as Cloud Summit and User - Group events.
Education and Experience Required:
Bachelor's or Master's degree in Computer Science, Information Systems, or equivalent.
Typically 4-8 years of experience.
Knowledge of the AI & ML technology
Landscape with an ability to understand and articulate the business and technical frameworks, architectures and solutions
Identify specific prospects/partners to approach while communicating the specific value proposition for their business and use case
Some relevant technical knowledge is helpful in areas such as: database systems, core distributed computing concepts, fundamentals of cloud computing and virtualization, storage systems, etc.
Strong understanding and experience in the field of AI and related technologies
Strong analytical skills, and demonstrated ability to turn detailed data analysis into useful strategic insight in order to drive customer adoption and make appropriate recommendations to the business
Strong experience using cloud computing and related emerging technology
Hewlett Packard Enterprise Values:

Partner. Innovate. Act.

We live by three core values that drive our business.

Simplified, we are good partners, great innovators and we make things happen.

Extensive social benefits, flexible working hours, a competitive salary and shared values, make Hewlett Packard Enterprise one of the world´s most attractive employers. At HPE our goal is to provide equal opportunities, work-life balance, and constantly evolving career opportunities.

If you are looking for challenges in a pleasant and international work environment, then we definitely want to hear from you. Apply now below, or directly via our Careers Portal at www.hpe.com/careers
You can also find us on:
https://www.facebook.com/HPECareers
https://twitter.com/HPE_Careers

1065624",Artificial Intelligence / Machine Learning Engineer,Bengaluru,4.2,Unknown / Non-Applicable,"INR  8,22,410",Information Technology,10000+ Employees,Company - Public
"Deutsche Bank AG
3.5",-1,1870,-1,Banks & Credit Unions,"Job Description:


Job Title - Data Scientist

Location- Pune

Role Description


Within the HR function, we are looking for a Data Scientist who will help discover information hidden in the data available and help the business to drive the strategy with data-based insights. Data scientist must be able to apply their analytical, statistical and programming skills to collect, analyze and interpret large data sets and present the outcomes using various data visualization techniques apt for different kind of stakeholders. Data scientist then should use such outcomes to develop data driven solutions and support stakeholders to improve business outcomes.

What we’ll offer you

As part of our flexible scheme, here are just some of the benefits that you’ll enjoy

· Best in class leave policy

· Gender neutral parental leaves

· 100% reimbursement under child care assistance benefit (gender neutral)

· Flexible working arrangements

· Sponsorship for Industry relevant certifications and education

· Employee Assistance Program for you and your family members

· Comprehensive Hospitalization Insurance for you and your dependents

· Accident and Term life Insurance

Complementary Health screening for 35 yrs. and above

Areas of Specialty
Data Mining: Ability to perform statistical analysis, prepare forecasting and predictive models etc.
AI & Machine Learning: Ability to build AI Models/Machine Learning models to automate the processes and continuously enhance the model based on data changes
Programming Skills: Ability to write programs/scripts in popular scripting and programming languages
Data Profiling & Quality: Ability to perform data quality checks on the source data ensuring good data quality for the model inputs
Data Visualization: Ability to present the outcomes in the most effective way
Responsibilities
Work continuously with stakeholders to identify opportunities of leveraging data to help in business solutions and driving business strategy; in this case it will be for the HR function of a large European bank
Analyze data to find patterns by applying data mining techniques and performing statistical analysis
Build AI tools to automate the processes; create machine learning based tools or processes
Develop high quality predictive modeling systems to provide HR with crucial results helping business to take smart decisions around workforce planning e.g. identification of potential leavers/movers
Develop data collection processes from a wide variety of sources including the data verification steps to ensure bringing the right quality of data and continuous monitoring of data performance
Use third party data in collaboration with organization’s data to have better insights and comparison with industry parameters
Develop and automate testing & verification framework for testing the quality of the various models being developed or already in production
Develop smart data visualization techniques/approaches conveying the outcomes in a clear and intuitive manner
Recruit, train and lead a team of data scientists
Evaluate new and emerging technologies
Skills & Qualifications
Excellent understanding and experience with common data science tools and data mining technologies
Exposure of AI & Machine Learning techniques and algorithms
Good demonstrable experience with data visualization tools and reporting technologies
Good experience with different databases including RDBMS, NoSQL databases and formats like JSON, XML etc.
Excellent scripting and programming skills like Python, R, Java, Scala etc.
Strong analytical and problem solving skills
Proficient written and verbal communication skills
Exposure to Big Data and Business Analytics technologies
Experience with cloud technologies
Data oriented personality with a drive to learn and master new technologies
Education/Certification


Graduation/Post-graduation from an accredited college or university with a concentration in Statistics or Computer Science (or equivalent)

Deutsche Bank is an equal opportunity employer who seeks to recruit and appoint the best available person for a job regardless of marital / civil partnership status, sex (including pregnancy), age, religion, belief, race, nationality and ethnic or national origin, colour, sexual orientation or disability.

How we’ll support you

· Training and development to help you excel in your career

· Flexible working to assist you balance your personal priorities

· Coaching and support from experts in your team

· A culture of continuous learning to aid progression

· A range of flexible benefits that you can tailor to suit your needs

About us and our teams

Please visit our company website for further information:

https://www.db.com/company/company.html

Our values define the working environment we strive to create – diverse, supportive and welcoming of different views. We embrace a culture reflecting a variety of perspectives, insights and backgrounds to drive innovation. We build talented and diverse teams to drive business results and encourage our people to develop to their full potential. Talk to us about flexible work arrangements and other initiatives we offer.

We promote good working relationships and encourage high standards of conduct and work performance. We welcome applications from talented people from all cultures, countries, races, genders, sexual orientations, disabilities, beliefs and generations and are committed to providing a working environment free from harassment, discrimination and retaliation.

Click here to find out more about our diversity and inclusion policy and initiatives.",Data Scientist,Pune,3.5,$10+ billion (USD),"INR  17,08,991",Finance,10000+ Employees,Company - Public
"GEP formerly Global eProcure
3.9",-1,1999,-1,Consulting,"GEP is a diverse, creative team of people passionate about procurement. We invest ourselves entirely in our client’s success, creating strong collaborative relationships that deliver extraordinary value year after year. Our clients include market global leaders with far-flung international operations, Fortune 500 and Global 2000 enterprises, leading government and public institutions.
We deliver practical, effective services and software that enable procurement leaders to maximise their impact on business operations, strategy and financial performance. That’s just some of the things that we do in our quest to build a beautiful company, enjoy the journey and make a difference. GEP is a place where individuality is prized, and talent respected. We’re focused on what is real and effective. GEP is where good ideas and great people are recognized, results matter, and ability and hard work drive achievements. We’re a learning organization, actively looking for people to help shape, grow and continually improve us.
Are you one of us?
GEP is an Equal Opportunity Employer. All qualified applicants will receive consideration for employment without regard to race, ethnicity, color, national origin, religion, sex, disability status, or any other characteristics protected by law. We are committed to hiring and valuing a global diverse work team.
For more information please visit us on GEP.com or check us out on LinkedIn.com.

Working on Computer Vision, Natural Language processing, Deep Learning related problems in supply chain

MS/PHD
5 years of experience post MS/PHD
Ability to solve complex open ended problems",Senior Data Scientist - Data Sciences,Hyderabad,3.9,Unknown / Non-Applicable,"INR  19,75,658",Business Services,1001 to 5000 Employees,Company - Private
