Company Name,Competitors,Founded,Headquarters,Industry,Job Description,Job Title,Location,Rating,Revenue,Salary Estimate,Sector,Size,Type of ownership
"Novartis AG
3.9",-1,1996,-1,Biotech & Pharmaceuticals,"Position Title
Product Engineering Expert - AI/NLP

28-Jul-2020

Job ID
294330BR

Job Description
Novartis Business Services IT (NBS IT) is working to support Novartis to deliver better patient outcomes through innovative use of information and technology. As technology is reshaping the healthcare industry, IT will be a differentiator for our businesses, inspiring new ideas and enabling Novartis to reimagine medicine

Responsible for technical product design, implementation, keeping the technology stack of the product current keeping pace with latest technologies, and operating all IT services, systems and applications.
Keep technology stack of relevant products for development, test and production use

• Ensure that developed solutions are peer reviewed and formally documented. Ensure accurate provisioning and metering of services. Help to drive architectural improvements across the product stack
• Responsible for creating reusable and automation frameworks that can be leveraged across the Service - Track and Manage incidents, where applicable including:
• Identify, log, categorize, prioritize, resolve incidents and raise a problem if required. Ensure that incidents are followed - up and solved appropriately
• Oversee problem management and drive identification of root causes as well as sufficient prevention of recurrences. Ensure adherence to documented operational procedures to maintain system integrity
• Ensure appropriate operational service documentation is created and accepted by stakeholders. Identify potential improvement areas for the owned system or application and connected services
• Perform/Automate patch, release and image management activities. Maintain and ensure all application data is consistent across the various repositories
• Engineer monitoring processes and event response to ensure performance and service related KPIs are met. Coordinate all configuration management database changes which directly or indirectly impact production services. Take accountability to ensure adherence with Security and Compliance policies and procedures within Product Engineering service scope.

Minimum requirements
• B.Tech / B.Engg or equivalent
• Certifications in key Cloud platforms will be an advantage Excellent written and verbal communication skills
• 6 - 8 years of IT Industry experience , platform eng. Experience with managing major cloud environments – AWS/Azure/GCP, preferably Azure with certifications; candidates with backgrounds in other environments will also be considered for exceptional profiles
• Experience and exposure to AI/NLP services and their configuration Overseeing and managing infrastructure dependencies and aligning with the infrastructure management team.
• “Hands on” mindset and not afraid to go deep into technical configuration; Scripting capability across technology stacks. Manage incidents and escalations with product vendors and prioritize issues to resolution with the different Novartis development teams. Problem management for key issues.
• Skilled at working effectively with cross functional teams in a matrix organization. Excellent written and verbal communication skills
• Experience working in an agile environment, delivering via incremental releases. Experience in DevOps methodology preferred.

Why consider Novartis?

799 million. That’s how many lives our products touched in 2019. And while we’re proud of that fact, in this world of digital and technological transformation, we must also ask ourselves this: how can we continue to improve and extend even more people’s lives?

We believe the answers are found when curious, courageous and collaborative people like you are brought together in an inspiring environment. Where you’re given opportunities to explore the power of digital and data. Where you’re empowered to risk failure by taking smart risks, and where you’re surrounded by people who share your determination to tackle the world’s toughest medical challenges.

Imagine what you could do at Novartis!

Job Type
Full Time

Country
India

Work Location
Hyderabad, AP

Functional Area
Information Technology

Division
NBS

Business Unit
IT NBS

Employment Type
Regular

Company/Legal Entity
Nov Hltcr Shared Services Ind

Shift Work
No",Product Engineering Expert - AI/NLP,Hyderabad,3.9,$10+ billion (USD),"INR  12,48,677",Biotech & Pharmaceuticals,10000+ Employees,Company - Public
"AstraZeneca Pharmaceuticals
4.0",-1,1913,-1,Biotech & Pharmaceuticals,"Job Title: Senior Consultant - NLP Engineer
Location: TRIL GTC chennai
GCL: D1

Role

We are looking for a NLP Engineers to join our AI Engineering team in Chennai. The ideal candidate will have industry experience working on a range of different natural language processing disciplines, e.g. search ranking, text/sentiment classification, deep learning and others. The position will involve taking these skills and applying them to some of the most exciting data & prediction problems in drug discovery. You will work as part of a global team of deeply technical data scientists, knowledge engineers & machine learning engineers and have the chance to create tools that will advance the standard of healthcare improving the lives of millions of patients across the globe.

We are working in collaboration with our scientists to help develop better drugs faster, choose the right treatment for a patient and run safer clinical trials. Our team empowers our scientists from early development to the late stages in drug development, driving innovation and acting as a catalyst for the adoption of the latest advances in Artificial Intelligence and Data Science. You will work closely with scientists & product teams and learn to deliver NLP solutions at scale within the AstraZeneca tech stack, whilst encouraging best practices for NLP across the company.

We are looking to build NLP-based systems, tools, and services that serve as infrastructure for practically everyone in AstraZeneca. As a strong software leader and an expert in building complex systems, you will be responsible for inventing how we use technology, natural language processing and text to enable the productivity of AstraZeneca.

You will help envision, build, deploy and develop our next generation of NLP engines and tools at scale.

Key Accountabilities
Help to establish our NLP environment, tools and platforms.
Understand, develop and optimize highly scalable classifiers and tools leveraging machine learning, encoders and rules based models
Adapt standard machine learning methods to best exploit modern parallel environments (e.g. distributed clusters, multicore SMP, and GPU)
Deploying NLP solutions into production.
Experience with graph technologies, e.g., RDF(S), SPARQL, graph and triple-stores
Optimizing solutions for performance and scalability.
Data engineering, i.e. ensuring a good data flow between database and backend systems with high performance data pipelines.
Implementing custom machine learning code.
Explain analyses and machine learning solutions to technical audiences
Liaise with other teams to enhance our technological stack, to enable the adoption of the latest advances in Data Processing and AI
Being an active member of the AI Engineering team, you will benefit from, and contribute to, our expanding bank of Data Science algorithms and work efficiently with our data science infrastructure. You will get involved in testing and assessing the quality of new tools. Its also likely youll get involved in team recruitment, training provision and coaching
Candidate Knowledge, Skills and Experience

Essential
MS in Computer Science or related quantitative field or Ph.D degree in Computer Science or related quantitative field
More than 2 years of experience and demonstrable deep technical skills in one or more of the following areas: machine learning, recommendation systems, pattern recognition, natural language processing or computer vision.
1+ experience applying encoders to unstructured data problems
Experience in using unsupervised and supervised methods over unstructured data: especially with search and text analytics.
Knowledge of scraping documents and document extraction key.
Strong software development skills, with proficiency in Python and Scala preferred
Experience building large scale data processing pipelines
Experience with Cloud computing, Hadoop/Spark, SQL
Ability to explain and present analyses and machine learning concepts to a broad technical audience
Creative, collaborative, & product focused
Desirable
Use of Data Science Modelling Tools eg. R, Python, Hadoop, Spark, SAS and Data Science Notebooks (e.g. Jupyter)
Experience with filesystems, server architectures, and distributed systems
We are an equal opportunity employer and value diversity at our company. We do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status.",Senior Consultant - NLP Engineer,Chennai,4.0,$10+ billion (USD),"INR  9,74,788",Biotech & Pharmaceuticals,10000+ Employees,Company - Public
"NVIDIA Corporation
4.5",-1,1993,-1,Computer Hardware & Software,"Widely considered to be one of the technology world’s most desirable employers, NVIDIA is an industry leader with groundbreaking developments in High-Performance Computing, Artificial Intelligence and Visualization. The GPU, our invention, serves as the visual cortex of modern computers and is at the heart of our products and services. More recently, GPU deep learning ignited modern AI — the next era of computing — with the GPU acting as the brain of computers, robots, autonomous cars and conversational AI that can perceive and understand the world.

Today, we are increasingly known as “the AI computing company.” We're looking to grow our company, and build our teams with the smartest people in the world. Join us at the forefront of technological advancement. NVIDIA is looking for Senior System Software Engineer to develop Conversational AI solutions for various NVIDIA platforms (Cloud, Edge, Embedded). If you're creative & passionate about developing and productizing complex solutions in the Conversational AI space, and are an upbeat and dynamic software engineer with excellent analytical ability, we want to hear from you!

What you'll be doing:
Work with research and product teams, to develop, build, fine tune and deploy neural networks for Natural Language Processing (NLP), Dialog Management, Natural Language Generation, etc. across multiple platforms, as part of Conversational AI solutions.
Drive the gathering, building and annotation of domain specific datasets to train the NLP neural networks, to build Named Entity Recognition and Q&A systems.
Train and deploy NLP neural networks with custom domain specific datasets.
Characterize performance and quality metrics across platforms for various NLP and Dialog Management components of a Chatbot system, and enable automated tracking of Key Performance Indicators.
Optimize metrics of NLP components for memory and compute, to the desired budget of the platforms.
Collaborate with various teams on new product features and improvements of existing products.
Participate in developing and reviewing code, design documents, use case reviews, and test plan reviews.
Work with QA teams to productize various NLP and Dialog Management components and the overall Conversational AI solution.
Help innovate, identify problems, recommend solutions and perform triage in a team environment.
What we need to see:
BE/B.Tech, ME/M.Tech,(from reputed schools only) or PhD is required.
You should possess good programming and scripting skills using C, C++, Python with strong software development, optimization, and analytical skills
Hands-on experience on NLP Neural Networks e.g. Transformer Models like BERT, to build Intent classification, Named Entity Recognition (NER) and Q&A systems, for both training and inference.
Exposure to Dialog Management Techniques for both task based and neural net based systems e.g. Neural Dialog State Tracking or Self-learning chat bots
Strong background in Deep Learning that includes Data conditioning, Model design, Pruning and Performance Optimization, Transfer Learning, Deployment etc.
Exposure to PyTorch and/or TensorFlow Deep learning tools and exporting models for inference
Optimizing NLP components/pipelines for resource constrained Edge platforms
Prefer direct experience of customizing and deploying AI Chatbot for specific application/s or domains.
Knowhow around gRPC and REST interfaces
Prefered exposure to NVIDIA GPU based technologies like CUDA, CuDNN, TensorRT, etc.
General background around version control and code review tools like Git, Gerrit and familiarity with computer arch fundamentals and multiprocessing/multithreaded software programs.
Experience with Linux OS and Kernel is preferred
Strong collaborative and interpersonal skills, specifically a proven ability to effectively guide and influence within a dynamic matrix environment
Ways to stand out from the crowd:
Enthusiastic and passionate about building Conversational AI solutions and solving challenges to bring natural conversation to Man-machine interfaces
Hardworking independent self-driven individual","Senior System Software Engineer, - NLP & Dialog Management",Pune,4.5,$5 to $10 billion (USD),"INR  15,03,414",Information Technology,10000+ Employees,Company - Public
"iKomet Technology Solutions Pvt. Ltd
4.7",-1,2015,-1,IT Services,"Work Location: Chennai

Required Experience: 3 - 5

Job Description:
Understanding of NLP techniques for text representation, semantic extraction techniques, data structures, and modeling
Ability to effectively design software architecture
Deep understanding of text representation techniques (such as n-grams, a bag of words, sentiment analysis, etc), statistics and classification algorithms
Knowledge of Python, Java, and R
Ability to write robust and testable code
Experience with machine learning frameworks (like Keras or PyTorch) and libraries (like sci-kit learn)
Strong communication skills
An analytical mind with problem-solving abilities
Develop programs in Scala and Python as part of data cleaning and processing
Responsible to design and develop distributed, high volume, high-velocity multi-threaded event processing systems
Develop efficient software code for multiple use cases leveraging Python and Big Data technologies for various use cases built on the platform
Provide high operational excellence guaranteeing high availability and platform stability
Implement scalable solutions to meet the ever-increasing data volumes, using big data/cloud technologies Apache Spark, Kafka, and Cloud computing, etc.",NLP Engineer,Chennai,4.7,Unknown / Non-Applicable,INR 18K - INR 32K,Information Technology,1 to 50 Employees,Company - Private
"Accrete.AI
5.0",-1,-1,-1,-1,"Location: Mumbai, India | Remote for the time being
Job Description

Responsibilities: Build, Improve and extend NLP capabilities, Research and evaluate new/different approaches to NLP problems, Produce deliverable results and take them from development to production in collaboration with our AI Scientists and Machine Learning Engineers. Potential for managerial responsibilities within six to 18 months.

About You
MSc./PhD in Computer Science, Computational Linguistics or related fields from a top tier university
Three to Seven years of experience with the ability to get deep in the development of the described NLP capabilities below, as well as have managerial potential or some managerial experience
Expertise in at least 3 of the following: Entity Extraction, Relationship extraction, Document Classification, Topic Modeling, Natural Language Understanding (NLU) Must have: Strong understanding of text pre-processing and normalization techniques such as: Tokenization, POS tagging and parsing and how they work at a low level
Experience with some of the open-source NLP toolkits such as CoreNLP, OpenNLP, spaCy, NLTK, gensim, LingPipe, Mallet, etc. Experience with open-source ML/math toolkits such as scikit-learn, MLlib, Theano, NumPy, etc.
Experience with noisy and/or unstructured textual data (e.g. tweets)
Strong knowledge of Python, and general software development skills (source code management, debugging, testing, deployment, etc)
Expertise in producing, processing, evaluating and utilizing training data. Great to have: Good understanding of linguistics and language as a phenomenon
Strong interest in, and knowledge of Artificial Intelligence and its subfields
Experience with non-English NLP
Experience with Deep Learning and Word Embeddings
Published work in academic conferences/journals or industry circles
Ability to collaborate with bigger teams and excellent communication skills
About Us

Founded in 2017 and headquartered in Lower Manhattan, Accrete.AI is an artificial intelligence company that builds proprietary dynamic learning technologies called Knowledge Functions designed to boost analytical productivity. Accrete’s Knowledge Functions comprise of latent mathematical representations of tacit human knowledge that seed models that dynamically recalibrate neural architectures on the fly with minimal feedback, resolving issues related to catastrophic forgetting. As a result, Accrete’s Knowledge Functions capture and scale tacit knowledge by enabling machines to accurately understand and adapt to changing contexts. Accrete’s Knowledge Functions are powering domain specific applications that accurately filter self-promotion to identify authentically engaged users; gauge influence to predict viral potential; track the propagation of rumors; and more.

Backed in part by Dr. David Magerman, who helped found the equities trading group at the world leading quantitative hedge fund Renaissance Technologies, Accrete.AI began by building and licensing applications that would help financial analysts predict market-moving merger and acquisition rumors and transcribe and analyze scores of earnings calls simultaneously in real time with human level granularity and accuracy. Accrete has since expanded its stable of Knowledge Functions to build and license smart analytical tools across a variety of industries beyond financial services such as defense, real estate, music and collectibles.

We believe that the way humans conduct analytical work will undergo radical transformation over the next several years. Due to an explosion in digital information and cognitive limitations of the human brain, it is impossible for human analysts to capture the true complexity associated with forecasting future events using pre-defined factors. As such, we specialize in building dynamic, continuously learning models that automate complex cognitive tasks typically performed by human analysts. Our mission at Accrete.AI is to scale human expertise and compound the world's knowledge for the purpose of making accurate predictions about the real world that impact financial markets.

In addition, based in Lower Manhattan, Accrete has a majority interest in NYC based Shinrai, an AI Services subsidiary.

If you’re the right person for the job, we look forward to hearing from you.",NLP Engineer,Mumbai,5.0,Less than $1 million (USD),INR 10K - INR 10K,-1,1 to 50 Employees,Company - Private
"AutomationEdge
3.7",-1,-1,-1,-1,"Are you a person who is always looking for self-improvement ?? Are you passionate about different technologies ??

Do you have these mandatory skills ? – NLP,Machine learning,etc.

We have exciting opportunity for you.

We are looking to hire candidates from Premium institutes only!! (Pass out students)

Type: Full-time/long internship(6 months)

Requirement :
0-2 years of experience
Good understanding of basic Machine Learning concepts is mandatory.
Well versed with different tokenization and sentence identification algorithms.
In-depth understanding of the basic natural language processing techniques like part-of-speech tagging, named entity recognition, morphology, stemming, Lemmatization, etc.
Hands-on experience with NLP toolkits such as NLTK, StanfordNLP, TensorFlow
Knowledge of RNNs, Transformers is an added advantage.

You’re good at :
Define, design, and solve some of the unsolved problems.
Building stories from the tons of the text data.
Create experiments, prototypes, and algorithms that not just yield high-accurate results but also engineered to scale.
Take end-to-end ownership of some technical aspects of the product. This may involve coordinating with various internal and external product teams.
Contact Person:Snehali Mandale
Email: snehali.mandale@automationedge.com

We will reach out to you regarding the further rounds, if your profile gets shortlisted.",NLP/Deep learning Engineer,India,3.7,Less than $1 million (USD),INR 17K - INR 18K,-1,51 to 200 Employees,Company - Private
NLPBOTS,-1,-1,-1,-1,"Software engineer with experience in NLP and Machine Learning. You will join our team of NLP, ML experts to work on our cutting edge AI NLP Product, building deep learning, NLP modules for various features of the product. You will also work closely with the product deployment team and help build custom capabilities relevant to different business/industry functions.

To succeed in this role, you should possess outstanding skills in deep learning techniques, Sequence to sequence, LSTMs, RNNs, CNNs, machine learning methods, text representation techniques, language models etc.

What we look for: -

Advanced proficiency in the following:
Python
Natural Language Processing
Deep Learning
Machine Learning
Numpy, Scipy, Pandas
Data Science
MongoDB
NoSQL
SQL
Big Data
Experience 0-4 years (yes, freshers w/ the right aptitude and logical thinking are welcome!)
Self driven individual with a drive to learn the latest in the technology.
Exceptional team player.
Ability to clearly communicate thoughts, and collaborate on Concepts and Ideas for the product.
Good understanding and knowledge of enterprise PDLC.
Research mindset with the courage to try things and learn from them.",AI NLP ENGINEER,Pune,-1,Less than $1 million (USD),"INR  8,34,924",-1,Unknown,Company - Private
"ConcertAI LLC
3.4",-1,2018,-1,Biotech & Pharmaceuticals,"About ConcertAI

ConcertAI is the leading provider of precision oncology solutions for biopharma and healthcare, leveraging the largest collection of research-grade Real-world Data and the only broadly deployed oncology-specific AI solutions. Our mission is to improve translational sciences; accelerate therapeutic clinical development; and provide new capabilities for post-approval studies to accelerate needed new medical innovations to patients and to improve patient outcomes.
ConcertAI has emerged as one of the highest growth technology companies in Real-world Data and AI, backed by industry leading private equity companies: SymphonyAI, Declaration Partners, Maverick Ventures, and Alliance|Bernstein.

Role Summary

ConcertAI is looking for a talented NLP Software Engineer to build advanced cloud based micro-services for unlocking the power of Real World Cancer Data. You will be responsible for designing, implementing and maintaining software that powers the company’s Clinical NLP capabilities. You will collaborate with data scientists with a focus on scalable, robust, and performant solutions. Come join us and work on cutting edge AI solutions in Healthcare!
Responsibilities
Design and develop production NLP microservices.
Stay current on the most recent NLP paradigms and design principles.
Write documentation and test suites, and help maintain several codebases.
Requirements
Degree in computer science, information technology, or related field.
Passion for building high quality production code.
3+ years relevant industry experience in production Python development.
Should have good understanding of modern cloud technologies including micro-services, containerization, and SQL + NoSQL.
Experience with NLP libraries and technologies including Spacy, PyTorch & Deep Learning models (eg: BERT) is a plus.
Strong communication skills and an enthusiasm for working in an interdisciplinary and fast paced environment.
Learn More About ConcertAI

ConcertAI is transforming how healthcare is delivered and dedicated to improving patient outcomes in oncology by offering innovative solutions on how data and intelligence is used to solve healthcare problems. We are creating something special in our culture, by building a collaborative, engaged, patient focused, team approach to our mission. Our high-performance teams are looking to add great talent to the mix and we are hiring for the right mix of new skills and diverse mindset. Learn more about ConcertAI at www.concertai.com or on LinkedIn .",NLP Software Engineer,Bengaluru,3.4,Unknown / Non-Applicable,INR 32K - INR 35K,Biotech & Pharmaceuticals,501 to 1000 Employees,Company - Private
"Soroco Pvt Ltd
2.8",-1,2014,-1,IT Services,"The Company

We are a young, fast-growing AI company shaking up how work gets done across the enterprise. Every day, we help clients identify opportunities for automation, and then use a variety of AI and advanced automation techniques to rapidly model manual work in the form of code. Our impact has already been felt across some of the most reputable Fortune 500 companies, who are consequently seeing major gains in efficiency, client satisfaction, and overall savings. It’s an exciting experience to watch companies transform themselves rapidly with Soroco!

Based across US, UK, and India, our team includes several PhDs and graduates from top-notch universities such as MIT, Harvard, Carnegie Mellon, Dartmouth, and top rankers/medalists from the IITs and NITs. The senior leadership includes a former founder of a VC/hedge fund, a computer scientist from Harvard, and a former founder of a successful digital media firm. Our team has collectively published more than 100 papers in international journals and conferences and been granted over 20 patents. Our board members include some of the most well-known entrepreneurs across the globe, and our early clients include some of the most innovative Fortune 100 companies.

The Role

As a Principal Engineer, you will lead the full-stack development of one of Soroco’s major products by working cross-functionally with the product and design organizations. Within the product engineering team, this role reports directly to the Director of Engineering to drive complex technical solutions to meet the requirements of the product. This includes leading a team of engineers, guiding them towards the best technical design and implementations, owning the NFR engineering for the product, consulting with client engagement teams on client escalations and interacting with client teams for technology value articulation. Additionally, as an individual contributor, you will solve some of the more challenging aspects of the technology and ensure the timely delivery of product requirements.

Responsibilities include (but are not limited to):
As primary owner of the architecture and design of your suite of products you will be responsible for - scaling, performance, availability & quality of the products; driving technology & best practices in engineering; driving code reviews, design reviews architecture discussions; driving the adoption of these best practices
Actively code and experiment with a new set of technologies and tools for futuristic systems
Translate high-level business requirements into technical functional requirements
Technical effort management, resource scheduling, task decomposition, and risk management in an agile environment
Provide mentorship in framework design to engineers and collaborate effectively with other product development teams across multiple geographies
Create systems that orchestrate and execute complex workflows using data pipelines
Evaluate and fine-tune systems for speed, robustness, and cost-efficiency
Troubleshoot business and production issues
Own multiple systems and work with engineers, product managers and engineering leaders to identify opportunities
for business impact
Participate in setting a vision and objectives for the team in alignment with business and market needs

The Candidate

The ideal Principal full-stack engineer will be a senior engineer who is passionate about leading and guiding passionate software development teams working on hard problems in computer science in areas such as distributed systems, machine learning, NLP, programming languages, computer security, networking, cloud computing, automation, analytics and big data.

Key Requirements and Qualifications:
Possesses at least 5 years of experience in building and delivering products from scratch to meet enterprise requirements at scale
Possesses at least 12 years of relevant experience writing applications using Java, C#, Python, or JavaScript
Proficient in one or more cloud providers, including AWS, Azure, GCP
Possesses a full-time Engineering Degree(Graduate/Post Graduate) - Computer Science preferred
Prior experience with NoSQL databases and RDBMS systems
Possesses an excellent understanding of UI visualization frameworks such as material design etc. and extensive experience in creating UI solutions leveraging Angular/AngularJS/React/D3
Possesses hands-on programming skills – Knowledge of programming constructs, data structures and algorithms;
Scripting languages/Framework (Python)
Excellent story-telling skills to communicate complex ideas and solutions effectively
Possess strong commitment to team environment dynamics with the ability to contribute expertise and follow leadership directives
at appropriate times.
Possesses excellent verbal and written communication skills
Bonus Skills:
Advanced knowledge of performance, scalability and software design, system architecture with an eye toward avoiding and reducing technical debt
Knowledge of pattern recognition, image processing, OCR and NLP techniques
Knowledge of traditional as well as modern machine learning/statistical techniques in one or more areas including regression, classification, deep learning and reinforcement learning;
Knowledge regarding frontend performance improvements in most common browsers, cross-browser compatibility issues;
sense for appeal & aesthetics from a usability perspective",Principal Engineer (Full Stack),Bengaluru,2.8,Unknown / Non-Applicable,"INR  12,80,642",Information Technology,201 to 500 Employees,Company - Private
"Han Digital Solution (P) Ltd.
3.6",-1,-1,-1,Staffing & Outsourcing,"Job Description :
3+yrs of Machine Learning experience in any of the following frameworks like TensorFlow , Keras2, CNTK, MXNet, Pytorch etc.
Experience in Python/Java/Scala is a must, with exposure to TensorFlow and GPU optimization
Hands-on Experience building NLP models using different NLP libraries ad toolkit like NLTK, Stanford NLP
Proficiency in any one language Python/ Java/ C++
Keep up to date on current research around NLP, Machine Learning and Deep Learning
Bachelors /Masters in Computer Science or Applied Mathematics with focus on Artificial Intelligence, Machine Learning, Signal Processing, Speech Recognition.
Should have published some research papers in Artificial Intelligence domain or contributed to some research which got implemented commercially
Key Responsibilities:
Solve complex business problems using Machine Learning / Artificial intelligence and develop a bot/AI
Involved in entire data scientist project life cycle including define the problem, data extraction/ parsing /manipulation/augmentation, data cleansing & transformation,
Develop new analytical methods and machine learning models.
Understand customer requirements and business goals, and participate in the design of machine learning platform features.
Key Job Attributes :


Artificial Intelligence
Machine Learning
Bot development
Tensorflow
NLP
Deep learning
Text mining
Voice recognition
Face recognition

Educational Qualifications :


B.E/B.Tech, ME/M.Tech/MS/PhD

Key Skills :


TensorFlow
Keras2
CNTK
MXNet
Pytorch
Artificial Intelligence
Machine Learning
Python
NLTK
Stanford NLP

Contact Details :


Email Id : anbu@handigital.com",Artificial Intelligence /NLP Engineer,Hyderabad,3.6,Unknown / Non-Applicable,"INR  3,89,631",Business Services,51 to 200 Employees,Company - Private
