Company Name,Competitors,Founded,Headquarters,Industry,Job Description,Job Title,Location,Rating,Revenue,Salary Estimate,Sector,Size,Type of ownership
"Punchh
4.2",-1,2010,-1,Enterprise Software & Network Solutions,"Punchh creates the consistent, modern experiences consumers expect by bringing the power of identity resolution into physical retail. Punchh is the leader in delivering one-to-one customer engagement and loyalty beyond mobile devices for a consistent brand experience through every channel. The Punchh Loyalty and Engagement Platform, powered through artificial intelligence, guides consumers through their lifecycle from first-time customer to superfan, building meaningful relationships and dramatically increasing lifetime customer value. Nearly 200 global enterprise brands rely on Punchh to grow revenue by building customer relationships. The company is based in Silicon Valley, California with a second US office in Austin, TX and global offices across Canada, India, the United Kingdom, and Singapore.

Punchh, Jaipur is looking out for a Data Analyst, who will take ownership of data analytics activities and work closely with end users (both internal and external clients) to translate requirements into data-driven applications and data visualization solutions (e.g. reporting and dashboards)

Total and Relevant Experience Required: 2+ years

Job Location: Jaipur

Key Responsibilities:
Participate in client calls with senior executives who are based in different geography and hence different time zone to understand business needs and define reporting solutions
Work with the CS managers to develop an insightful analytics report for our clients. Make actionable business recommendations. Define performance measurement / KPI / recurring reports.
Be One of the key owners of the quarterly business review process that highlight the relevant business opportunities.
Be a key liaison between the data and CS teams to:
Address and resolve data requests.
Ensure high quality of our data warehouse.
Represent the company's expertise in advanced analytics in a variety of media outlets such as client interactions, conferences, blogs, and interviews.
Skillset Required
Relevant experience in analytics
Advanced degree in Data technology, business, economics, statistics or other related fields, with a strong interest in marketing technology.
Expertise in creating analytics dashboards using such as Tableau (preferably), Power BI, etc from various data sources.
Strong knowledge of and experience with databases (SQL, Redshift, Snowflake, etc.)
Self-starter, with a keen interest in technology and highly motivated towards success
Must be proactive and be prepared to address meeting in different time zones.
Good to have skillset: R, Python, Tableau Server, Big Data Tools like Databricks, Spark",Data Analyst,Jaipur,4.2,$50 to $100 million (USD),"INR  6,18,615",Information Technology,201 to 500 Employees,Company - Private
"Gensuite, LLC
3.4",-1,2008,-1,Computer Hardware & Software,"Associate Data Analyst

Full Time
Bangalore, IN

Innovate with Gensuite as an Associate Data Analyst

Do you want to innovate the future? At Gensuite we innovate the future every day! From working with incredible team members, innovative subscribers and new technology like Artificial Intelligence, a career at Gensuite means using your skills to develop fresh ideas and innovative initiatives. Our employees work together seamlessly, combining our collective creativity and passion to meet and exceed the expectations of our customers.

We work with incredible brands like Amazon Fulfillment, General Electric and NBC Universal among many, that trust our solution, inspired by users and created for leaders.

Gensuite Benefits

We offer all our full-time employees a competitive package of compensation and benefits, including vacation; Company-sponsored group healthcare and life insurance plans. We also pride ourselves on our friendly, accepting work atmosphere. Plus, our team events and office-wide initiatives keep us feeling invigorated and ready to tackle any challenge.

About Gensuite LLC

Gensuite LLC develops and deploys innovative software solutions for companies in every industry and corner of the globe. Our varied and powerful web-based applications are developed to help our customers turn complex compliance requirements into a manageable, digitized and actionable processes. Our comprehensive cloud software suite features intuitive, best-practice process functionality, flexible configurations and powerful extensions. For over two decades, weve helped companies manage safe & sustainable operations worldwide, with a focus on fast return on investment (ROI), service excellence and continuous innovation. Over 1 million users trust Gensuite with their compliance and Environmental, Health and Safety software system needs, and we are proud to offer solutions inspired by our users and created for worldwide leaders.

Gensuite Subscribers

Worldwide: Access Midstream, Amazon Fulfillment, AngloGold Ashanti, Cactus Wellhead, Comcast, Dubois Chemicals, General Electric, Grainger, Hill-Rom, Ingersoll Rand, Luxottica, NBCUniversal, Perrigo, US Silica and more.

Responsibilities
Working in Tableau to create customer facing reports on Gensuite application data and scoping said reports.
Working with customer services team to finalize efforts for proposal creation.
Working with Application DEV teams to finalize data models to bring into the Tableau reports.
Entail ongoing maintenance to these reports as well and investigating if there are data accuracy concerns.
Qualifications & Experience:

Bachelors degree in information systems/computer science, with course work in database management, and computer-related training. 1-3 years of relevant experience in data analysis.

Skills:

Must be able to clearly understand and articulate a data science problem and work on it independently.
Experience in implementing and optimizing various algorithms of big data analytics, machine learning and statistical algorithms using computer languages such as SQL, R, Python.
Extensive background in data mining and statistical analysis.
Able to understand various data structures and common methods in data transformation.
Excellent pattern recognition, natural language processing (NLP), predictive and machine learning modeling.
Advanced skills in Excel as well as any data visualization tools like Tableau or similar BI tools (familiarity with Tableau preferred).
Advanced ability to draw insights from data and clearly communicate them (verbal/written) to the stakeholders and senior management as required.
An ability and interest in working in a fast-paced and rapidly changing environment.
Excellent communication skills.
Ability to work effectively with a variety of personality styles.
Strong commitment to results.
Sense of urgency; responsive.
Questions about the position? Please contact our HR Specialist, Arjun Krishnan at arjun.krishnan@gensuitellc.com",Associate Data Analyst,Bengaluru,3.4,$10 to $25 million (USD),"INR  3,18,709",Information Technology,201 to 500 Employees,Company - Private
"GroundTruth
3.4",-1,2009,-1,-1,"Role: Junior Data Analyst

Location: Gurgaon, India

GroundTruth is the leading global location platform that leverages data and insights to drive business performance. Using its proprietary Blueprints technology, GroundTruth is able to learn about mobile users and reach them at the right place and right time, ultimately helping companies make smarter marketing decisions, increase sales, and grow their businesses. Since its foundation in 2009, GroundTruth has launched several innovative products and won numerous awards, including Inc. 5000’s Fast Growing Private Companies and Deloitte's Fast 500 Technology companies. Today, we're proud to employ over 400 employees across three continents and serve millions of marketers across 21 countries. Learn more: www.groundtruth.com

This will be an exciting and challenging role that will enable you to work with very large data sets, expose you to cutting edge analysis techniques, work with the latest components in cloud architecture and gain experience in the usage of location data to drive businesses. As an early member you will have significant opportunities for growth within the organization. A successful applicant will be passionate about technology and developing a deep understanding of human behavior in the real world. They would also have excellent communication skills, be able to synthesize and present complex information and be a fast learner.

You will:
Learn about location-driven marketing and how companies are using location signals to drive their business
Work closely with marketing, growth strategy and sales teams based out of our offices in USA, Germany
Develop re-usable tools and templates to quickly create data driven narratives
Gather requirements, design analyses, identify data sources and define measurement metrics to present insights and recommendations for ready consumption
Be responsible for managing your work pipeline and creating re-usable analysis and documentation
You have:
BA/BSc/B.E./BTech degree in Computer Science, Statistics, Mathematics, Economics, Physics or related fields from Tier 1/Tier 2 colleges
6 months - 2 years of experience in working with data and conducting statistical and/or numerical analysis
Strong understanding of how data can be stored and accessed in different structures
Experience with writing computer programs to solve problems
Strong understanding of data operations such as sub-setting, sorting, merging, aggregating and CRUD operations
Ability to write SQL code and familiarity with R/Python, Linux shell commands
Be willing and able to quickly learn about new businesses, database technologies and analysis techniques
Ability to tell a good story and support it with numbers and visuals
Strong oral and written communication
How you can impress us:
Experience working with large datasets
Experience with AWS analytics infrastructure (Redshift, S3, Athena, Boto3)
Experience building analytics applications leveraging R, Python, Tableau, Looker or other • Experience in geo-spatial analysis with POSTGIS, QGIS
We operate in a fast paced, dynamic environment where everyone on the team is committed to the success and growth of GroundTruth. Our culture is highly entrepreneurial and our success comes from our employees who voice their opinions and ideas to facilitate growth to our bottom line. We reward hard work, support career development, offer comprehensive benefits, and foster a fun and friendly work environment.

We are an equal opportunity employer and value diversity at our company. We do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status",Junior Data Analyst,Gurgaon,3.4,Less than $1 million (USD),INR 783K - INR 849K,-1,201 to 500 Employees,Company - Private
"Amazon.com, Inc.
4.3",-1,1994,-1,Internet,"Amazon Indias Supply Chain & Analytics team is looking for technically strong Analyst for developing solutions to better manage/optimize inventory placement and operations planning while providing the best experience to our customers at the lowest possible price. As part of Amazon Indias Supply Chain & Analytics, our team members have an opportunity to be at the forefront of supply chain thought leadership by working on some of the most difficult problems with some of the best research scientists, software developers, and business leaders in the industry, shaping our roadmap to drive real impact on Amazon's long-term profitability. We are a new(ish) team, building new analysis from ground up, proposing new concepts and technology to meet business needs, and need several analysts who enjoy and excel at diving into data to analyze root causes and implement long-term solutions.

As an analyst within the group, you will work closely with program managers to analyze massive data sets, identify areas to improve, define metrics to measure and monitor programs and build end-to-end reporting solutions which help leaders keep a close eye on business areas. You will also work closely with internal business teams to extract or mine information from our existing systems to create new analysis, and expose data from our group to wider teams in intuitive ways. As an analyst embedded in the business team you have the opportunity to participate and shape program development as well as leverage your technical skills.

Key deliverables of the role:
· Provide customer and vendor data and insights for better impact decisions
· Automate data templates and reports
· Develop and Train planners for organizing and reporting where automation is not possible
· Create and publish supply chain daily and weekly business review reports
· Build a SQL repository for ad-hoc requests and reports

Responsibilities:
The successful analyst should be able to demonstrate:
· Strong Excel and SQL skills
· Passion for converting data to insights, building frameworks for decision making, high attention to details and data fidelity
· Ability to prioritize and focus on high impact areas
· Teamwork and problem solving skills
· Communicate thoughts clearly and good verbal command


Basic Qualifications

· Bachelors degree in Engineering, Mathematics, Statistics or similar quantitative discipline.
· Technical skills Proficiency in SQL, Microsoft Excel.
· 0-4 years of experience in hands on Analytics, dash-boarding, querying
· Strong Analytical skills has ability to start from ambiguous problem statements, identify and access relevant data, make appropriate assumptions, perform insightful analysis and draw conclusion relevant to the business problem.
· Communication skills ability to communicate (written and spoken) in English. Demonstrated ability to communicate complex technical problems in simple plain stories. Ability to present information professionally & concisely with supporting data.
· Ability to work effectively & independently in a fast-paced environment with tight deadlines.
· Ability to engage with cross-functional teams for implementation of project and program requirements.


Preferred Qualifications

· Proficient with reporting tools like Tableau/Quick-sight.",Data Analyst Support,Bengaluru,4.3,$10+ billion (USD),"INR  14,39,361",Information Technology,10000+ Employees,Company - Public
"Amazon.com, Inc.
4.3",-1,1994,-1,Internet,"Amazon's Marketplace Trust team works to ensure that buyers, brands and sellers can trust Amazon while transacting on our marketplace. We are looking for a hands-on, detail oriented and highly motivated data analyst to help create data backed insights.The candidate should be comfortable interfacing with technology systems and be able to analyze data and gather actionable conclusions. Operating in a rapidly changing environment will require the candidate to be adept at dealing with ambiguous, new and challenging situations.
Role and Responsibilities:
· Enable effective decision making by retrieving and aggregating data from multiple sources and compiling it into a digestible and actionable format Put on your business thinking cap to drive insights and action we can take to improve the business
· Measure the metrics of our business and propose/implement projects to improve these metrics.
· Ensure KPIs are published and reviewed on a daily, weekly, monthly basis and perform analysis on any behaviours / processes that could impact on data integrity.








Basic Qualifications



· Bachelor's degree in Computer Science, Engineering, Operations Research, Math, or related discipline.
· Strong SQL Knowledge and Hands-on experience.
· Minimum 2+ years of experience as an Analyst role preferred. Highly proficient in Microsoft Office and Windows based applications. Demonstrated Analytical ability, results-oriented environment with external customer interaction.
· Excellent written and verbal communication and presentation skills and the ability to express thoughts logically and succinctly.
· Entrepreneurial drive and demonstrated ability to achieve stretch goals in an innovative and fast-paced environment.



Preferred Qualifications


· Experience with E-Commerce, Retail and Business Analytics would be an advantage.
· Proficiency with visualisation tools like Tableau
· Understanding of data warehousing, data modeling concept and building new DW tables
· Advanced SQL skills, fluent in R and/or Python, advanced Microsoft Office skills, particularly Excel and analytical platforms",Data Analyst,Bengaluru,4.3,$10+ billion (USD),"INR  14,39,361",Information Technology,10000+ Employees,Company - Public
"Condeco
3.8",-1,2005,-1,Computer Hardware & Software,"Title: Data Analyst

Skills: Data Warehouse, Data Analyst, SQL Database, Power BI, no-SQL Database – Mongo DB

Location: DLF Cyber Hub, Gurugram

Company Summary:
We’re the global leader in workspace scheduling technology. We make it easy to find and book space to meet up and work together. We provide workspace scheduling software to over 1,000 of the world’s biggest brands, integrating meeting room and workspace reservation solutions that help remove friction in the workplace and free businesses and their people up to get the most out of their working day.

Responsibilities:
Identify and assess key opportunity areas where data, analytics and science can enhance our business.
Develop hypothesis-driven analysis and statistical models to identify trends and key drivers in consumer behaviours that can be used to develop compelling value-props for the company and our clients.
Drive productization of analytic capabilities in data management, modelling and insights.
Gather information, perform data analysis by using latest Date Technologies to define technology requirements, business rules and ensure the technology meets the business objectives.
Work on Data Acquisition from upstream systems performing below-
Data Analysis
Data profiling
Gap Analysis
Prepare Data spec
Do feed testing
Perform Testing (QA and Functional)
Research and design data enrichment & transformation processes.
About You:
Experience with Power BI or other BI tools such as Qlikview, Tableau, Spotfire, Cognos is required.
Hadoop, Spark, Kafka, Scala, Python, DB2, MySQL, Oracle, no-SQL databases like MongoDB, Elastic Search.
Should have worked as Business/Data Analyst for a Data Lake or Warehousing project, preferably on Big Data platform.
Strong SQL skills is necessary along with exposure to data analysis using industry standard tools, methods and techniques. Prior experience of data modelling is useful.
Strong Data Analyst or System Analyst experience.
Ability to work on complex data mapping issues involving large datasets.
Quantitative skills in mathematics, statistics, and analytics.
Ability to analyse existing tools and databases and provide software solution recommendations.
Ability to turn data into information, information into insight and insight into business decisions.
Able to analyse large data sets, preferably utilizing Excel, SQL, or R/Python.
Solid and proven background in data mining, statistical analysis, segmentation and modelling.
Benefits:
Health insurance fully paid – Spouse, children and Parents
Accident insurance fully paid
Transport allowance
Gratuity fully paid
25 days holiday
7 paid sick days
10 public holidays
Company Information:
Follow us on Twitter | LinkedIn | YouTube.
Condeco are proud to be an equal opportunity employer. We are committed to treating all individuals in a fair and equal manner by creating an inclusive and open environment for all employees.",Data Analyst,Gurgaon,3.8,$25 to $50 million (USD),"INR  16,37,214",Information Technology,201 to 500 Employees,Company - Private
"Telstra Corporation Limited
3.7",-1,1901,-1,Telecommunications Services,"Employment Type
Permanent
Closing Date
13 Aug 2020 11:59pm
Job Title
Data Analyst
Job Description


Telstra is Australia’s leading telecommunications and technology company, with operations in more than 20 countries, including in India where we’ve launched our new Innovation and Capability Centre (ICC) in Bangalore.

We’re combining innovation, automation and technology to solve the world’s biggest technological challenges in areas such as Internet of Things (IoT), 5G, Artificial Intelligence (AI), Machine Learning, and more. Join us on this exciting journey, and together, we’ll reimagine the future.

Our Software Engineering teams are building a new platform to support Microservice APIs, developed by our teams of developers spread across the globe. We're using industry leading technologies and design principles to encourage best practice application design / development and operation, such as automation and CI/CD.

As a Data Analyst, you thrive on collaborating with your team and providing valuable data analysis to support stakeholders and team members to deliver technical analysis and research that enables successful business initiative/mission design and delivery, and ongoing technical capability operational performance. You will be responsible to interpret data and turns it into information which can offer ways to improve a business, thus affecting business decisions. You need to gather information from various sources and interpret patterns and trends. Once data has been gathered and interpreted, the you will report back what has been found in a comprehensive study to the wider business/relevant colleagues. As a member of the team and data custodian, you will have a big impact on supporting the delivery of customer value in the data integration and platform extension space.

In this role, your key responsibilities are…
Contribute to the delivery of data engineering and design across multiple projects and functional areas to enable the execution of the data strategy.
Take ownership of your own work to contribute to the creation of robust and automated pipelines to ingest and process structured and unstructured data from source systems into analytical platforms.
Contribute to proposals for better system designs / architecture to build reliable data flows, combining analytical batch processing, real-time data flows and low-latency APIs.
Apply a breadth of knowledge within data engineering to contribute to the management and maintenance of data and automation platforms through their lifecycles. Ensure information security by adhering to security guidelines.
Create high quality, readable, testable, scalable and extensible code that is sustainable.
Collaborate with business users and technical resources, with support/direction from more experienced team members, to evaluate new features and architecture, contributing to solving challenging problems at scale. Collaborate with other specialists (e.g. data architects and business analysts) to understand the business goals and contribute to the design of optimal data modes that enable access to data for different types of users.
Participate in improving data quality across our data pipelines and supporting the implementation of system controls for managing data quality, supporting, remediating and updating platforms (DevOps).
Seek input from others to research data questions and provide suggestions for intelligent approaches to help detect and root cause the outliers in data models.
Actively contribute to a culture of continuous delivery and agile development by supporting team-based planning activities, writing scrum team stories and collaborating with other scrum team members to estimate and deliver work inside of a sprint.
Seek out expertise and best practice models inside and outside the team to grow and develop depth / advanced levels of knowledge in data engineering.
To be successful in the role, you must have…
Degree level IT qualifications in Software or Systems Engineering.
Minimum 5 years of experience in experience in analyzing and solving complex business problems by analysing data.
Extensive experience in Hortonworks on Hadoop.
Extensive experience in SQL, Hive, Spark, Ambari, Zeppelin.
Ability to develop understanding of system and process consumption of data under analysis.
Proficient in Agile / Scrum practices.
Experience in SQL Programming and Multi-tenant Databases.
Ability to perform data profiling and derive insights to inform business and solution design decisions.
Ability to prepare data remediation inputs for automated and manual remediation.
Ability to establish & monitor data governance and quality process to identify opportunities for enhancement and automation.
Excellent problem solving and analytical skills.
Desirable to have experience on:
MS Azure
Power BI
Our people in India will be at the forefront of technological change as they work collaboratively with, and learn from, world-class experts and have access to the latest training programs and insights for their field.

Alongside your work on leading edge projects, working with us means you'll have access to company perks and benefits that'll reward you for the great work you do. We’re growing, fast, and for you that means many exciting opportunities to develop your career with us at Telstra.

Interested?

If you're excited about the opportunity to be part of a team, committed to delivering amazing experiences for our customers – your next step is to apply!

We’re committed to building a diverse and inclusive workforce. To enable everyone to participate, we’ve developed an ‘All Roles Flex’ policy to consider flexible ways of working for every role. To learn more, visit our Telstra Careers Website: tel.st/allrolesflex

We’re committed to building a diverse and inclusive workforce. To enable everyone to participate, we’ve developed an ‘All Roles Flex’ policy to consider flexible ways of working for every role. To learn more, visit http://tel.st/allrolesflex. We welcome applications from Indigenous Australians, people from diverse cultural and linguistic backgrounds and people living with a disability. We encourage you to talk to us about how we can support you through the recruitment process.",Data Analyst,Bengaluru,3.7,$10+ billion (USD),"INR  11,62,278",Telecommunications,10000+ Employees,Company - Public
"Hewlett Packard Enterprise
4.2",-1,2015,-1,Enterprise Software & Network Solutions,"Hewlett Packard Enterprise is an industry leading Technology Company that enables customers to go further, faster. With the industrys most comprehensive portfolio, spanning the cloud to the data center to workplace applications, our technology and services help customers around the world make IT more efficient, more productive and more secure.

Customer Solution Centers are made up of teams that provide remote (offsite) service; customer access, pre-sales, post-sales, and service delivery. Technical teams focus is to solve various business systems and applications problems for customers, onsite engineering personnel and Authorized Service Providers on standard, specialized or complex systems.

Job brief

We are looking for a passionate certified Data Analyst. The successful candidate will turn data into information, information into insight and insight into business decisions.

Data Analyst Job Duties

Data analyst responsibilities include conducting full lifecycle analysis to include requirements, activities and design. Data analysts will develop analysis and reporting capabilities. They will also monitor performance and quality control plans to identify improvements.

Responsibilities
Interpret data, analyze results using statistical techniques and provide ongoing reports
Develop and implement databases, data collection systems, data analytics and other strategies that optimize statistical efficiency and quality
Acquire data from primary or secondary data sources and maintain databases/data systems
Identify, analyze, and interpret trends or patterns in complex data sets
Filter and clean data by reviewing computer reports, and performance indicators to locate and correct code problems
Work with management to prioritize business and information needs
Locate and define new process improvement opportunities
Requirements
Proven working experience as a Data Analyst or Business Data Analyst
Technical expertise regarding data models, database design development, data mining and segmentation techniques
Strong knowledge of and experience with reporting packages (Business Objects etc), databases (PostgreSQL etc), programming (XML, Javascript, or ETL frameworks)
Knowledge of statistics and experience using statistical packages for analyzing datasets (Excel, SPSS, SAS, Kibana etc)
Strong analytical skills with the ability to collect, organize, analyze, and disseminate significant amounts of information with attention to detail and accuracy
Adept at queries, report writing and presenting findings
Minimum Education : B.Tech./ BE in Computer Science, Information Management, MCA

Minimum Year of Experience as Data Analyst : 5 Yrs.

Hewlett Packard Enterprise Values:

Partner. Innovate. Act.

We live by three core values that drive our business.

Simplified, we are good partners, great innovators and we make things happen.

Extensive social benefits, flexible working hours, a competitive salary and shared values, make Hewlett Packard Enterprise one of the world´s most attractive employers. At HPE our goal is to provide equal opportunities, work-life balance, and constantly evolving career opportunities.

If you are looking for challenges in a pleasant and international work environment, then we definitely want to hear from you. Apply now below, or directly via our Careers Portal at www.hpe.com/careers

You can also find us on:
https://www.facebook.com/HPECareers
https://twitter.com/HPE_Careers

1065301",Data Analyst,Gurgaon,4.2,Unknown / Non-Applicable,"INR  8,22,410",Information Technology,10000+ Employees,Company - Public
"FE fundinfo Limited
4.1",-1,1996,-1,Financial Analytics & Research,"The position is full-time and would be based at the company’s Chennai office. The successful applicant would have 1 - 2 years' relevant experience and be responsible for collection, validation & analysis of Mutual fund data.

Key Areas of Responsibility
Collection, validation, analysis of mutual fund information.
Updating the mutual fund information into our databases in a timely manner.
Perform quality checks.
Communicate with UK and Offshore asset management companies via email/telephone.
Provide clarifications to clients’ queries based on priority and urgency levels.
Extract and provide various project-related reports as required by the manager.
Key Skills

Key Technical Skills
Possess basic knowledge of Mutual funds and/or of the financial sector.
Proficient in MS Office (including MS Outlook)
Key Behavioural Skills
Very good written and spoken English communication skills.
Good Analytical and Problem solving skills.
Ability to work independently and come up with ideas to enhance the process.
Ability to achieve the defined SLA standards with regard to Turn Around Time, Work accuracy etc. and maintain them throughout one’s tenure in the department.
Ability to quickly learn new concepts relating to Mutual funds and be able to apply them in the work.
How to Apply

To apply for this job, click here

If you have any questions regarding this job, please feel free to email india.jobs@financialexpress.net

FE UK",Data Analyst,Chennai,4.1,Unknown / Non-Applicable,"INR  19,772/mo",Finance,501 to 1000 Employees,Company - Private
"JPMorgan Chase & Co.
3.9",-1,1799,-1,Investment Banking & Asset Management,"CIB Chief Data Office - Data Remediation Team - Project Team Member (450)

Job Description

About J.P. Morgan Corporate & Investment Bank

JPMorgan's Corporate & Investment Bank (CIB) is a global leader across banking, markets and investor services. The world's most important corporations, governments and institutions entrust us with their business in more than 100 countries. With $18 trillion of assets under custody and $393 billion in deposits, the Corporate & Investment Bank provides strategic advice, raises capital, manages risk and extends liquidity in markets around the world.
Department Description
Firmwide & CIB Data Quality is part of Firmwide Data Management. Our goal is to drive business value from better quality data, as data is at the heart of everything we do at JPMorgan Chase. Firmwide & CIB Data Quality's role is to drive the approach to data quality at the firm, by setting DQ standards and monitoring, providing central capabilities (process and tooling) and data expertise/consulting.

Background

The successful candidate will join a team focused on transformation of data quality management within the CIB and be responsible for supporting the strategy and execution of Chief Data Office's initiatives.

The role will require working with stakeholders across the CIB, looking to leverage best practice across the industry and other J.P. Morgan business units. Specific focus will be on executing small to large-scale data remediation projects across CIB lines of business (LoBs).

Key roles and responsibilities:

• Analyzing the different datasets and performing complex comparisons

• Deriving insights from the data and its business impact

• Should be able to identify links between different systems and processes

• Reading/understanding procedure documents and strictly adhere to procedures when handling data related requests

• Performing the assigned activities in a timely manner and in accordance with the agreed service levels

• Periodic reporting of the deliverables to the project leads

• Should be able to effectively communicate the queries to respective line of business

• Learning new business functions, systems and working in different projects

• Willingness to work and learn in a fast-paced working environment

• Ability to perform under pressure and meet the deadlines

• Exceed client expectations and work towards building a world class operations environment

• Be coachable and mentored as per the changing projects requirement

• Understanding the firms policies, compliance, guidelines and strictly adhering to it.

Qualifications
Bachelor's degree (any discipline)
2+ year's experience
Experience in Investment Banking or banking related domains recommended
Skills Required

• Good communication (both verbal & written) and inter-personal skills

• Good Data Analytical skills and Quantitative aptitude

• Expertise in Microsoft Excel

• Microsoft Office suite and MIS skills

• Basic technical skills

• Ability to work as a part of team and contribute towards team goals

• Excellent grasping power, able to understand the various processes

• Should have deep inclination for learning of various financial products

This role is a an outstanding opportunity within JPMorgan and will offer the candidate the opportunity to join a high profile team and take a partnership role within the CIB Chief Data Office group to support one the most significant change programs.

JPMorgan Chase is an Equal Opportunity and Affirmative Action Employer, M/F/D/VJPMorgan Chase & Co., one of the oldest financial institutions, offers innovative financial solutions to millions of consumers, small businesses and many of the world's most prominent corporate, institutional and government clients under the J.P. Morgan and Chase brands. Our history spans over 200 years and today we are a leader in investment banking, consumer and small business banking, commercial banking, financial transaction processing and asset management.

We recognize that our people are our strength and the diverse talents they bring to our global workforce are directly linked to our success. We are an equal opportunity employer and place a high value on diversity and inclusion at our company. We do not discriminate on the basis of any protected attribute, including race, religion, color, national origin, gender, sexual orientation, gender identity, gender expression, age, marital or veteran status, pregnancy or disability, or any other basis protected under applicable law. In accordance with applicable law, we make reasonable accommodations for applicants' and employees' religious practices and beliefs, as well as any mental health or physical disability needs.",CIB - Data Management - Operations Analyst,Mumbai,3.9,$10+ billion (USD),"INR  16,32,068",Finance,10000+ Employees,Company - Public
